sn,german,english
226,er wirft,
227,hat treu,
228,geworfen (Wirf den Ball zu,
229,mir!) benehmen,
230,er benimmt,
231,hat benommen,
232,mit spielen (Er benimmt sich wie ein,
233,das Rad,
234,er Fußballstar.),
235,die Radtour das Vorbild,
236,reiten,
237,er reitet,
238,ist geritten sympathisch,
239,Yoga machen großartig,
240,der Kletterer,
241,- genial,
242,die Kletterin unglaublich (Das Spiel war,
243,die Wanderung,
244,Wanderung machen) der Wahnsinn,
245,die Strecke (Wahnsinn! So ein tolles,
246,die Kondition,
247,muss mehr Sport machen,
248,Das war wahnsinnig gut,
249,ich habe nicht genug die Hoffnung,
250,bestimmt (Das nächste Mal,
251,die Gesundheit klappt es bestimmt.),
252,entspannen (Beim der Erfolg,
253,Sport kann ich mich gut,
254,entspannen.) die Enttäuschung,
255,der Wettbewerb verlieren,
256,er verliert,
257,verloren (Wir haben das,
258,Sportgeräte Spiel verloren.),
259,der Fußballschuh die Katastrophe,
260,der Klettergurt,
261,der Helm Vorschläge machen,
262,die Matte Was denkst du,
263,das Mountainbike wir,
264,Wir könnten,
265,Lernwortschatz,
266,einverstanden sein,
267,stark (Heute regnet es,
268,passen (So machen wir es,
269,Das passt mir gut.) stark.) trocken (Heute bleibt es,
270,unterwegs in D-A-CH,
271,die Anreise andere wichtige Wörter und Wendungen,
272,der Einwohner,
273,- außer,
274,die Einwohnerin ausfallen,
275,er fällt aus,
276,Sohn entfernt (Salzburg ist nur,
277,ausgefallen (Das Spiel fällt,
278,kulturell (Das kulturelle deshalb,
279,Angebot ist grois.) trotzdem,
280,an.). faszinierend basteln,
281,das Gasthaus,
282,er die Kette,
283,hinunter das Material,
284,das Gebiet zurückgeben,
285,er gibt,
286,die Umgebung zurück,
287,hat zurückgegeben,
288,der Nationalpark bewachen,
289,das Tal,
290,er der Staat,
291,die Höhle der Kanton,
292,der Führer,
293,- (Sie wandern der Cousin,
294,mit einem Führer durch die die Cousine,
295,Höhle.) die Sendung,
296,var die Führerin eine Antwort geben,
297,die Temperatur (Die der Hinweis,
298,Temperatur liegt unter null quer,
299,Grad.) übermorgen,
300,der Nebel,
301,- neulich,
302,Wichtig für mich,
303,Mal,
304,Welchen Sport macht man draußen? Notieren Sie acht Sportarten,
305,Was passt zusammen? Ordnen Sie zu,
306,langlaufen schießen klettern verlieren entspannen tragen,
307,der Blumentopf,
308,Wohnformen der Briefkasten,
309,das Zuhause das Päckchen,
310,der Bauernhof,
311,e auspacken,
312,die Ferienwohnung der Lärm (sich über,
313,der Bauer den Lärm beschweren),
314,mitten (mitten in der stinken,
315,er stinkt,
316,Natur) gestunken,
317,einsam Verzeihung,
318,bitte,
319,der Stadtrand,
320,er (am vorkommen,
321,er kommt,
322,Stadtrand wohnen) vor,
323,ist vorgekommen,
324,außerhalb von (Entschuldigung,
325,Dorf wohnen),
326,das Hausboot ein Fest vorbereiten,
327,das Ufer,
328,- das Sommerfest,
329,schaukeln (Das Boot,
330,schaukelt auf dem Wasser.) die Torte (Kuchen und,
331,Torten mitbringen),
332,nass,
333,spiegeln (Wolken der Wein,
334,spiegeln sich im Wasser.) das Poster,
335,einfach (Das Leben ist sehr der Lampion,
336,einfach.) die Kerze,
337,der Luxus das Spielzeug,
338,das Gartenhaus,
339,er der Roller,
340,- (mit dem Roller,
341,der Altbau fahren),
342,das Stockwerk das Kissen,
343,der Keller,
344,- legen (das Kissen auf den,
345,das Dach,
346,er Stuhl legen),
347,der Boden,
348,* hängen (Er hängt,
349,Lampions in den Baum.),
350,Maße angeben hängen,
351,er hängt,
352,die Länge gehangen (Das Poster,
353,die Breite hängt am Gartenhaus.),
354,die Höhe,
355,die Fläche Zimmer tauschen,
356,der Quadratmeter,
357,- die Mieterin,
358,der Mitbewohner,
359,möbliert,
360,Nachbarn die Nebenkosten,
361,nebenan (in der Wohnung,
362,nebenan leben) einziehen,
363,er zieht ein,
364,ist eingezogen,
365,gießen,
366,er gießt,
367,hat ge-,
368,gossen gespannt,
369,Lernwortschatz,
370,auskennen,
371,er kennt,
372,aus,
373,hat ausgekannt modisch,
374,verirren besorgt (Die Besitzer,
375,kündigen,
376,Wohnung kündigen) blitzschnell,
377,herlgeben,
378,er gibt her,
379,Tiere hergegeben,
380,das Haustier weglaufen,
381,er läuft weg,
382,ist weggelaufen,
383,die Katze,
384,zurücklaufen,
385,er läuft,
386,das Kätzchen,
387,- (So ein zurück,
388,ist zurückgelaufen,
389,süßes kleines Kätzchen!),
390,bellen andere wichtige Wörter und Wendungen,
391,der Vogel,
392,- die Zulassung (die,
393,die Ratte Zulassung zum Studium,
394,die Maus,
395,der Hase per,
396,die Kuh,
397,*e intensiv,
398,das Schaf schmutzig,
399,das Schwein nämlich (Der Hund war,
400,der Bär nämlich gern allein.),
401,die Besitzerin nie mehr,
402,das Futter zum Teil,
403,füttern zumindest,
404,dick,
405,zu dick.) die Vergangenheit,
406,dünn (Der Hund war sehr der Stil,
407,dünn.) verbessern,
408,der Tierarzt,
409,e die Veränderung,
410,Wichtig für mich,
411,Sammeln Sie zu jedem Bild fünf Wörter und Ausdrücke. Schreiben Sie dann zu einem Bild einen kurzen Text,
412,an deiner Stelle,
413,Lebensphasen meiner Meinung nach,
414,vergehen,
415,er vergeht,
416,ist vergangen Ausflüge organisieren,
417,Die Zeit vergeht schnell. interessieren,
418,die Ehe Wofür interessierst du,
419,die Hausfrau dich,
420,der Hausmann,
421,er vorbereiten,
422,backen,
423,einen Kuchen backen kümmern,
424,bauen Worum kümmert sich,
425,einrichten (das Zimmer Linda,
426,schön einrichten) unterhalten (mit,
427,verletzen (Ich habe mich Mit wem hast du dich so,
428,an der Hand verletzt.) lang unterhalten,
429,verreisen,
430,nicht oft.) Ich erinnere mich noch an,
431,den letzten Ausflug,
432,Arbeit,
433,anstellen Alles bestens,
434,entlassen,
435,er entlässt,
436,hat entlassen (Die Firma Zeitreise,
437,musste ihn entlassen.) das Feuer,
438,behalten,
439,er behält,
440,hat das Gas,
441,behalten (Er möchte seine,
442,Stelle behalten.) die Heizung,
443,heizen,
444,der Werktag,
445,der Export der Strom,
446,der Import die Hektik,
447,die Frist der Helfer,
448,Zeit die Helferin,
449,Ich würde gern ... der Notfall,
450,ausschalten (das Handy Bei einem Notfall rufen,
451,ausschalten) wir die Polizei,
452,klingeln (Das Handy hat die Unterkunft,
453,geklingelt.) bieten,
454,er bietet,
455,ständig (Sie rufen ständig geboten (Wir bieten,
456,schimpfen das Einkaufszentrum,
457,-zentren,
458,verbringen,
459,verbringt,
460,hat verbracht besitzen,
461,er besitzt,
462,(Zeit mit der Familie besessen,
463,verbringen) produzieren,
464,Lernwortschatz,
465,träumen,
466,die Lücke,
467,verzichten,
468,das Mitleid (Ich habe,
469,altmodisch Mitleid mit ihm.),
470,damals Du Armer! / Du Arme,
471,besorgen (Ich muss noch,
472,Sprichwörter etwas im Supermarkt,
473,das Sprichwort,
474,wer besorgen.),
475,die Erklärung,
476,en der Alkohol,
477,das Gold betrunken,
478,der Rat (Ich gebe dir bluten,
479,einen Rat.) effektiv,
480,heilen kühl (Am Abend ist es,
481,andere wichtige Wörter und Wendungen niedrig,
482,Acht geben reich,
483,herein kommen,
484,er meist,
485,kommt herein,
486,ist vor allem,
487,hereingekommen Papa -,
488,brechen,
489,er bricht,
490,gebrochen (Das Glas ist,
491,Wichtig für mich,
492,Sammeln Sie Wörter zu den Lebensphasen,
493,Kind sein,
494,das Berufsleben die F,
495,die Schulzeit,
496,Gute Unterhaltung! die Reihe,
497,die Unterhaltung der Warenkorb,
498,(Wir wünschen Ihnen gute netto,
499,Unterhaltung!) die Mehrwertsteuer,
500,die Gesellschaft,
501,das Werk zuzüglich,
502,das Schloss,
503,er inklusive,
504,der König die Vorwahl,
505,die Königin Mobil-,
506,die Führung,
507,haben im Museum die Versandkosten,
508,eine Führung mitge-,
509,macht.) die Gebühr,
510,der Roman die Zahlungsart,
511,der Bestseller,
512,- die Überweisung,
513,jährlich,
514,die Verfilmung Meldungen,
515,meist- (der meist- die Meldung,
516,abonnierte Video-Kanal) der/die Prominente,
517,der Nachrichtensprecher,
518,Festivalbesuch die Nachrichtensprecherin,
519,das Festival -nen,
520,live der Hörer,
521,der Hit die Hörerin,
522,der Musikstil,
523,e die Sendung,
524,Pop der Einsatz,
525,Rap die Stimme,
526,Rock die Stille,
527,rockig verschlafen,
528,er verschläft,
529,Elektro hat verschlafen,
530,melodisch der Sammler,
531,die Stimmung die Sammlerin,
532,der Campingplatz,
533,*e das Schnäppchen,
534,die Verpflegung,
535,der Wert,
536,der Rucksack,
537,wertvoll (Das Bild ist sehr,
538,ein Ticket online kaufen,
539,befreundet (Er ist mit einer,
540,der Kauf,
541,e Kunstexpertin befreundet.),
542,der Stehplatz,
543,e bestätigen,
544,der Sitzplatz,
545,™e das Quiz,
546,Lernwortschatz,
547,Malerei,
548,die Malerei andere wichtige Wörter und Wendungen,
549,die Kriminalität,
550,der Titel,
551,(Auf dem Bild,
552,"mit dem Titel „Abend"" sieht die Gewalt",
553,die Bedeutung,
554,en,
555,der Ausblick (Von hier gut/schlecht gelaunt sein,
556,hat man einen tollen -jährig (Er hat eine,
557,Ausblick auf das Meer.) zweijährige Tochter.),
558,das Blatt,
559,er knapp,
560,unendlich,
561,hübsch,
562,abschließend,
563,verrückt (Ich finde die,
564,Farben auf dem Bild ein insbesondere,
565,bisschen verrückt.) auffallen,
566,er fällt auf,
567,uninteressant aufgefallen (Was fällt dir,
568,an dem Bild auf?),
569,abstrakt,
570,erhalten,
571,er erhält,
572,der Vordergrund,
573,™e (im erhalten,
574,Vordergrund),
575,die Hauptrolle (Sie,
576,davor spielt die Hauptrolle in,
577,der Hintergrund,
578,Hintergrund) der Wanderer,
579,dahinter die Wanderin,
580,die Stelle,
581,zeigt die Stelle,
582,wo heute die Rückfrage,
583,der Supermarkt ist.),
584,unter anderem,
585,hell- (Die Blätter sind,
586,hellgrün.) wie immer,
587,dunkel- (Der Himmel ist,
588,abmalen,
589,Wichtig für mich,
590,Beschreiben Sie das Bild. Was ist wo? Wie ist die Stimmung,
591,erleben,
592,Arbeitswelten,
593,der Trainer,
594,die Tätigkeit,
595,einen Termin einhalten professionell,
596,beraten,
597,er berät,
598,beraten,
599,sich beeilen den Beruf wechseln,
600,klappen (Hier klappt gar der Berufswunsch,
601,nichts!) beruflich,
602,der Ärger komplett (beruflich,
603,komplett neu anfangen),
604,am Bahnhof und am Schalter der Neuanfang,
605,die Bahn selbstständig (sich,
606,selbstständig machen),
607,der Fahrplan,
608,die Zugverbindung mehr,
609,die Durchsage,
610,die Chance,
611,der Wagen,
612,nutzen (eine Chance,
613,die Geschäftsreise nutzen),
614,der Schalter,
615,- die Umwelt,
616,die Hinfahrt das Plastik,
617,die Rückfahrt erfolgreich,
618,zurück kommen,
619,kommt zurück,
620,ist das Gehalt,
621,zurückgekommen das Risiko,
622,Risiken,
623,hin und zurück finanziell (das finanzielle,
624,einfach Risiko),
625,die Klasse die Übersetzerin,
626,eine Fahrtkarte für die der Chirurg,
627,Zweite Klasse das Herz,
628,nebeneinander (zwei Plätze die Oberärztin,
629,nebeneinander) der Leiter,
630,der Gang,
631,der Lastwagen,
632,Wo möchten Sie sitzen,
633,am Gang oder Fenster? der Lkw,
634,bereuen (eine,
635,Entscheidung nicht,
636,das Stadtprogramm bereuen),
637,die Ermäßigung die Freiheit,
638,preiswert,
639,die Band telefonieren,
640,der Musiker,
641,- das Telefonat,
642,die Sängerin der Anrufer,
643,das Album,
644,Alben,
645,fantastisch der Anrufbeantworter,
646,sich konzentrieren,
647,Lernwortschatz,
648,deutlich (Sprechen Sie,
649,deutlich!) mit/helfen,
650,er hilft mit,
651,das Blatt,
652,er (ein Blatt hat mitgeholfen,
653,Papier bereitlegen) fest (kein festes Büro,
654,hektisch (nicht hektisch,
655,werden) befristet,
656,lächeln mobil,
657,stören das Wissen,
658,außer Haus sein die Kompetenz,
659,hinterlassen,
660,er hinterlässt,
661,lebenslang,
662,hat hinterlassen (eine,
663,Nachricht hinterlassen) problemlos,
664,ausrichten (Können Sie die Hausarbeit,
665,etwas ausrichten?),
666,zurückrufen,
667,er ruft zurück,
668,andere wichtige Wörter und Wendungen,
669,hat zurückgerufen in Ordnung,
670,also gut,
671,die moderne Arbeitswelt auf keinen Fall,
672,der Arbeitstag nun (Was machen wir,
673,sich verändern nun?),
674,der Betrieb möglich,
675,die Fabrik häufig,
676,komisch,
677,die Maschine,
678,der Roboter,
679,- unnötig,
680,unter (Reservierungen,
681,virtuell einige,
682,erreichbar (immer schwanger,
683,erreichbar sein) das Bier,
684,zunehmen,
685,er nimmt zu,
686,hat zugenommen der Schritt,
687,der Austausch der Feiertag,
688,das Jahrhundert,
689,die Zusammenarbeit,
690,Wichtig für mich,
691,Sie wollen mit dem Zug fahren. Was machen Sie? Notieren Sie mindestens sieben Ausdrücke in der zeitlichen,
692,Reihenfolge,
693,eine gute Zugverbindung suchen,
694,aussteiger,
695,im Restaurant arbeiten,
696,in der Stadt die Aushilfe eint,
697,das Verkehrsmittel,
698,- bedienen (die Gäste aus,
699,öffentlich hat au,
700,Verkehrsmittel) servieren (Essen und,
701,Getränke servieren) eir der Fahrer,
702,die Fahrerin die Zutat,
703,transportieren de,
704,die Polizei bei der Behörde,
705,beschützen das Amt,
706,er le,
707,die Feuerwehr die Behörde g,
708,die Sicherheit der Beamte,
709,sich kümmern (sich um die die Beamtin b,
710,Patienten kümmern),
711,erledigen (ein paar Dinge,
712,pflegen erledigen),
713,die Operation ausfüllen (ein Formular,
714,die Straßenreinigung ausfüllen),
715,aufräumen der Antrag,
716,die Ordnung genehmigen (einen Antrag,
717,der Müll genehmigen),
718,die Müllabfuhr die Einbürgerung,
719,die Mülltonne das Dokument,
720,leeren (die Mülltonnen abgeben,
721,er gibt ab,
722,leeren) hat abgegeben,
723,Angaben prüfen,
724,einen job suchen der Personalausweis,
725,die Stellenanzeige beantragen,
726,sich bewerben,
727,er bewirbt,
728,verlängern (den Pass,
729,hat beworben verlängern),
730,das Vorstellungs- das Visum,
731,Visa (ein Visum,
732,gespräch beantragen),
733,die Unterlagen gültig (Der Pass ist nicht,
734,die Kenntnis mehr gültig.),
735,(Italienisch-Kenntnisse,
736,haben) die Grenze,
737,die Teilzeit,
738,in Teilzeit arbeiten in der Bank,
739,die Bezahlung der/die Angestellte,
740,der Lohn,
741,e ab heben,
742,er hebt ab,
743,spontan (spontan arbeiten abgehoben,
744,können) vom Konto Geld abheben,
745,der Bescheid (Ich der Betrag,
746,gebe Ihnen Bescheid.),
747,einen Betrag überweisen,
748,auslgeben,
749,er gibt aus,
750,der Dom,
751,hat ausgegeben (Geld die Disco,
752,ausgeben),
753,ein Konto eröffnen andere wichtige Wörter und Wendungen,
754,die Bankkarte bitten,
755,er bittet,
756,sperren hat gebeten,
757,der Kredit der Gefallen,
758,die Geldbörse um einen Gefallen bitten,
759,leihen,
760,er leiht,
761,hat dringend,
762,geliehen das Beste,
763,der/die Nächste,
764,bei der Polizei der Fan,
765,der Diebstahl,
766,™e der Daumen,
767,melden drücken (die Daumen,
768,drücken),
769,weg sein (Das Handy war,
770,modern,
771,funktionieren,
772,eine Stadt-Tour,
773,der Gedanke,
774,der Stadtplan,
775,die Ruhe,
776,der Tourist,
777,die Entspannung,
778,die Touristin neben (ein Job neben,
779,der Politiker,
780,- dem Studium),
781,die Politikerin über (über die Grenze,
782,das Parlament,
783,e fahren),
784,das Gesetz,
785,e vorstellen (Stell dir das,
786,die Verwaltung vor!),
787,das Gebäude,
788,- das Wunder,
789,- (Kein,
790,Wichtig für mich,
791,Was machen Sie in dieser Situation? Ergänzen Sie passende Ausdrücke,
792,besondere Ereignisse keine Ahnung haben,
793,die Geburt die Laune (Ich habe,
794,schmücken heute schlechte Laune.),
795,sich aus,
796,die Liebe tausche,
797,die Geburtstagsparty Erfahru,
798,der Schultag,
799,e (der erste sich wohlfühlen fallen,
800,Schultag die Freude (Das Gl,
801,der Führerschein Das ist ja toll,
802,Teppich,
803,sich unt,
804,die Führerschein- Ich freue mich riesig. unterhä,
805,prüfung So ein Glück! (Auf der,
806,bestehen,
807,er besteht,
808,hat bestanden sich ärgern (Ich ärgere,
809,mich mi,
810,mich über meinen Bruder.) anbiete,
811,der Club hat ange sich streiten,
812,er streitet,
813,das Brautpaar hat gestritten sich aus,
814,der Ring aus spre das Bedauern aus,
815,Platz,
816,e (Erster Platz,
817,Ich habe gewonnen.) Das tut mir leid. bewunde,
818,der Sieg Schade! sich ents,
819,beruhigen er entsch die Medaille,
820,entschie,
821,das Feuerwerk Das macht nichts. unterrich,
822,dabei sein Es geht schon wieder. weglfahr,
823,Es ist alles okay. ist weggr,
824,Glückwünsche ausdrücken hoffen,
825,sich langweilen Wichtig f,
826,die Glückwunschkarte,
827,die Karte aufregend,
828,gratulieren (Wir gratulieren aufgeregt sein,
829,euch herzlich zur Hochzeit.) ärgerlich,
830,wie (Wie schön,
831,ihr genervt,
832,heiratet!) gestresst Notieren,
833,Alles Gute! nervös,
834,sich bedanken (Wir,
835,möchten uns für die sauer (Er kommt schon,
836,Geschenke bedanken.) wieder zu spät. Ich bin richtig sauer!),
837,tausend Dank schlimm,
838,die Absage stolz,
839,stehen,
840,er steht,
841,traurig Reagieren,
842,hat gestanden (Was steht,
843,auf der Karte?) unangenehm Sie bekom,
844,unglücklich,
845,Gefühle Sie haben (,
846,das Gefühl andere wichtige Wörter und Wendungen,
847,die Emotion sich erinnern (Erinnerst du Ein Wasser,
848,Angst haben dich an Tims Party?),
849,sich gewöhnen (Ich bin,
850,Lernwortscha,
851,sich austauschen (Wir außerdem,
852,tauschen uns über unsere inzwischen,
853,Erfahrungen aus.),
854,das Frühjahr,
855,fallen,
856,er fällt,
857,ist gefallen,
858,Teppich gefallen.) das Gegenteil,
859,sich unterhalten,
860,er das Wohnheim,
861,unterhält,
862,hat unterhalten der Verkehr,
863,(Auf der Party habe ich verspätet,
864,mich mit Tim unterhalten.),
865,die Währung,
866,anbieten,
867,er bietet an,
868,hat angeboten kostenlos,
869,sich aus ruhen niemand,
870,aus/sprechen,
871,er spricht nirgends,
872,aus,
873,hat ausgesprochen fremd,
874,bewundern hilfsbereit,
875,sich entscheiden,
876,ordentlich,
877,er entscheidet,
878,hat wahr,
879,entschieden weltweit,
880,unterrichten wenn,
881,wegfahren,
882,er fährt weg,
883,meine Freundin wegfährt,
884,ist weggefahren dann bin ich traurig.),
885,Wichtig für mich,
886,Notieren Sie positive und negative Gefühle,
887,Reagieren Sie,
888,Sie bekommen eine Einladung zu einer Hochzeit,
889,als (Das Tablet ist leichter,
890,Dinge vergleichen wie (Der Laptop ist,
891,nicht so leicht wie das genauso (Der Laptop ist,
892,genauso praktisch wie das,
893,über Arbeit sprechen,
894,der Vergleich ein Start-Up gründen,
895,der/die Studierende entwickeln (eine App,
896,privat dass,
897,das Start-Up programmieren Meinung äußern die Umfrage kommentieren,
898,Kino und Filme der Actionfilm,
899,der Fantasy-Film,
900,die Komödie der Liebesfilm,
901,die Filmmusik,
902,leicht Tablet.) Tablet.) gründen,
903,entwickeln),
904,meinen mitteilen kritisch peinlich der Thriller,
905,blöd,
906,Lernwortschatz,
907,Aktivitäten mit Medien an sein hochladen,
908,er lädt hoch,
909,Medien und Geräte der E-Book-Reader,
910,- das Smartphone die Spielekonsole der Bildschirm der Lautsprecher,
911,das E-Book der Laptop das Radio das Tablet die Tastatur die Webseite,
912,in Kontakt bleiben einhundertzwölf herunterladen,
913,die Maus,
914,e der Kontakt,
915,lädt herunter,
916,hat heruntergeladen hat hochgeladen der Blogbeitrag,
917,das Kabel,
918,- der Link immer an.) anklicken downloaden weiterleiten,
919,tippen kopieren löschen Fotos teilen mailen senden bloggen chatten posten,
920,nah,
921,näher,
922,am nächsten,
923,die Freundschaft die Sorge (Sorgen,
924,die Enkelin die Kindheit sterben,
925,er stirbt,
926,überhaupt,
927,das Schicksal,
928,e manche,
929,mancher,
930,fröhlich schwierig vorsichtig,
931,der Enkel,
932,still haben),
933,gestorben das Tier mehrmals,
934,plötzlich unbedingt,
935,tot zuletzt,
936,Was kann man damit machen? Notieren Sie möglichst viele Verben,
937,Welche Filme gibt es? Ergänzen Sie die Buchstaben,
938,andere wichtige Wörter und Wendungen,
939,Worum geht es im Film? spielen (Der Film spielt in gewinnen,
940,er gewinnt,
941,die Hauptperson einfach (Der Film war,
942,die Handlung,
943,en dumm,
944,dümmer,
945,am der Humor Wichtig für mich,
946,der Trailer,
947,- das Talent,
948,e der Witz einfach toll.) ausprobieren,
949,gewonnen dümmsten,
950,real,
951,der Hotelkaufmann,
952,er die Krankenschwester der/die Auszubildende die Berufserfahrung die Arztpraxis,
953,Arztpraxen,
954,die Grundschule die Hauptschule die Gesamtschule die Realschule die Berufsschule das Schulsystem das Bundesland die Arzthelferin das Gymnasium,
955,der Altenpfleger,
956,- der Englischlehrer,
957,die Hotelkauffrau der Krankenpfleger,
958,die Gärtnerin die Arbeitswelt,
959,das Berufsleben,
960,Arbeit und Beruf die Erfahrung,
961,das Handwerk die Werbeagentur,
962,das Reisebüro,
963,Wirtschaft die AG Schultypen Gymnasien,
964,das Au-pair der Grafiker,
965,- der Azubi die Lehre die Messe,
966,Berufe jobben,
967,Lernwortschatz,
968,die Klasse (Die Lehrerin,
969,der Schulabschluss,
970,der Abschluss,
971,e die Direktorin die Schülerin,
972,steht vor der Klasse.) das Klassenzimmer,
973,die Unterrichtszeit die Cafeteria,
974,Cafeterien,
975,Lieblings- (Mein Lieblings-,
976,der Stundenplan,
977,e die Fremdsprache die Klassenfahrt die Schuluniform die Vorbereitung,
978,Kunsterziehung/Kunst,
979,der Schulweg,
