sn,german,english
352,der Import,
353,die Hektik,
354,die Frist,
355,der Helfer,
356,die Helferin,
357,der Notfall,
358,das Handy,
359,einem Notfall,
360,die Polizei,
361,die Unterkunft,
362,das Einkaufszentrum,
363,-zentren,
364,verbringen,
365,verbringt,
366,der Familie,
367,träumen,
368,die Lücke,
369,verzichten,
370,das Mitleid,
371,das Sprichwort,
372,die Erklärung,
373,der Alkohol,
374,das Gold,
375,der Rat,
376,einen Rat,
377,herein kommen,
378,kommt herein,
379,brechen,
380,den Lebensphasen,
381,das Berufsleben,
382,die Schulzeit,
383,die Reihe,
384,die Unterhaltung,
385,der Warenkorb,
386,die Mehrwertsteuer,
387,die Gesellschaft,
388,das Werk,
389,das Schloss,
390,der König,
391,die Vorwahl,
392,die Königin,
393,die Führung,
394,die Versandkosten,
395,eine Führung,
396,die Gebühr,
397,der Roman,
398,die Zahlungsart,
399,der Bestseller,
400,die Überweisung,
401,jährlich,
402,die Verfilmung,
403,die Meldung,
404,die Prominente,
405,der Nachrichtensprecher,
406,die Nachrichtensprecherin,
407,das Festival,
408,der Hörer,
409,der Hit,
410,die Hörerin,
411,der Musikstil,
412,der Einsatz,
413,die Stimme,
414,die Stille,
415,rockig verschlafen,
416,der Sammler,
417,die Stimmung,
418,die Sammlerin,
419,der Campingplatz,
420,das Schnäppchen,
421,die Übernachtung,
422,die Verpflegung,
423,der Wert,
424,der Rucksack,
425,ein Ticket,
426,der Kauf,
427,der Stehplatz,
428,der Sitzplatz,
429,das Quiz,
430,die Malerei,
431,die Kriminalität,
432,der Titel,
433,dem Bild,
434,dem Titel,
435,die Gewalt,
436,die Bedeutung,
437,der Ausblick,
438,schlecht gelaunt sein,
439,das Meer,
440,das Blatt,
441,unendlich,
442,hübsch,
443,abschließend,
444,abstrakt,
445,erhalten,
446,der Vordergrund,
447,die Hauptrolle,
448,der Hintergrund,
449,der Wanderer,
450,die Wanderin,
451,die Stelle,
452,die Rückfrage,
453,der Supermarkt,
454,unter anderem,
455,abmalen,
456,das Bild,
457,erleben,
458,der Trainer,
459,die Tätigkeit,
460,einen Termin,
461,beraten,
462,den Beruf,
463,der Berufswunsch,
464,der Ärger,
465,der Neuanfang,
466,die Bahn,
467,der Fahrplan,
468,die Zugverbindung,
469,die Durchsage,
470,die Chance,
471,der Wagen,
472,eine Chance,
473,die Geschäftsreise,
474,der Schalter,
475,die Umwelt,
476,die Hinfahrt,
477,das Plastik,
478,die Rückfahrt,
479,zurück kommen,
480,kommt zurück,
481,das Gehalt,
482,das Risiko,
483,die Klasse,
484,die Übersetzerin,
485,eine Fahrtkarte,
486,die der Chirurg,
487,die Oberärztin,
488,der Leiter,
489,der Gang,
490,der Lastwagen,
491,der Lkw,
492,das Stadtprogramm,
493,die Ermäßigung,
494,die Freiheit,
495,preiswert,
496,die Band,
497,der Musiker,
498,das Telefonat,
499,die Sängerin,
500,der Anrufer,
501,das Album,
502,der Anrufbeantworter,
503,sich konzentrieren,
504,helfen,
505,ein Blatt,
506,lächeln mobil,
507,das Wissen,
508,die Kompetenz,
509,hinterlassen,
510,lebenslang,
511,die Hausarbeit,
512,zurückrufen,
513,also gut,
514,die moderne Arbeitswelt,
515,der Arbeitstag,
516,der Betrieb,
517,die Fabrik,
518,komisch,
519,die Maschine,
520,der Roboter,
521,-unnötig,
522,die Digitalisierung,
523,virtuell einige,
524,das Bier,
525,zunehmen,
526,der Schritt,
527,der Austausch,
528,der Feiertag,
529,das Jahrhundert,
530,die Zusammenarbeit,
531,eine gute Zugverbindung,
532,aussteiger,
533,die Aushilfe,
534,das Verkehrsmittel,
535,die Gäste,
536,öffentlich hat au,
537,der Fahrer,
538,die,
539,die Fahrerin,
540,die Zutat,
541,transportieren de,
542,der Behörde,
543,das Amt,
544,die Feuerwehr,
545,die Behörde,
546,die Sicherheit,
547,der Beamte,
548,die die Beamtin,
549,ein paar Dinge,
550,die Operation,
551,ein Formular,
552,die Straßenreinigung,
553,der Antrag,
554,die Ordnung,
555,einen Antrag,
556,der Müll,
557,die Müllabfuhr,
558,die Einbürgerung,
559,die Mülltonne,
560,das Dokument,
561,die Mülltonnen,
562,der Personalausweis,
563,die Stellenanzeige,
564,sich bewerben,
565,den Pass,
566,das Vorstellungs,
567,das Visum,
568,ein Visum,
569,die Unterlagen,
570,die Kenntnis,
571,die Grenze,
572,die Teilzeit,
573,der Bank,
574,die Bezahlung,
575,die Angestellte,
576,der Lohn,
577,der Bescheid,
578,der Betrag,
579,einen Betrag,
580,auslgeben,
581,der Dom,
582,die Disco,
583,ein Konto,
584,die Bankkarte,
585,sperren hat gebeten,
586,der Kredit,
587,der Gefallen,
588,die Geldbörse,
589,einen Gefallen,
590,leihen,
591,das Beste,
592,die Nächste,
593,der Polizei,
594,der Fan,
595,der Diebstahl,
596,der Daumen,
597,die Daumen,
598,modern,
599,funktionieren,
600,eine Stadt-Tour,
601,der Gedanke,
602,der Stadtplan,
603,die Ruhe,
604,der Tourist,
605,die Entspannung,
606,die Touristin,
607,ein Job,
608,der Politiker,
609,dem Studium,
610,die Politikerin,
611,das Parlament,
612,das Gesetz,
613,die Verwaltung,
614,das Gebäude,
615,das Wunder,
616,einen Monat,
617,einen Personalweis,
618,die Geburt,
619,die Laune,
620,sich aus,
621,die Liebe,
622,die Geburtstagsparty,
623,der Schultag,
624,die Freude,
625,der Führerschein,
626,sich unt,
627,die Führerschein,
628,ein Glück,
629,bestehen,
630,mich mi,
631,der Club,
632,das Brautpaar,
633,der Ring,
634,das Bedauern,
635,der Sieg,
636,die Medaille,
637,entschie,
638,das Feuerwerk,
639,die Glückwunschkarte,
640,die Karte,
641,die Absage,
642,stehen,
643,der Karte,
644,unglücklich,
645,das Gefühl,
646,die Emotion,
647,die andere Währung,
648,tauschen uns über unsere inzwischen,
649,das Frühjahr,
650,fallen,
651,das Gegenteil,
652,sich unterhalten,
653,das Wohnheim,
654,unterhält,
655,der Verkehr,
656,der Party,
657,die Währung,
658,anbieten,
659,sich aus ruhen niemand,
660,sprechen,
661,bewundern hilfsbereit,
662,sich entscheiden,
663,ordentlich,
664,entschieden weltweit,
665,unterrichten wenn,
666,wegfahren,
667,eine Einladung,
668,einer Hochzeit,
669,genauso praktisch wie das,
670,der Vergleich,
671,ein Start-Up,
672,die Studierende,
673,privat dass,
674,das Start-Up,
675,die Umfrage,
676,der Actionfilm,
677,der Fantasy-Film,
678,die Komödie,
679,der Liebesfilm,
680,die Filmmusik,
681,der Thriller,
682,blöd,
683,der E-Book-Reader,
684,das Smartphone,
685,die Spielekonsole,
686,der Bildschirm,
687,der Lautsprecher,
688,das E-Book,
689,der Laptop,
690,das Radio,
691,das Tablet,
692,die Tastatur,
693,die Webseite,
694,der Kontakt,
695,lädt herunter,
696,der Blogbeitrag,
697,das Kabel,
698,der Link,
699,nah,
700,näher,
701,am nächsten,
702,die Freundschaft,
703,die Sorge,
704,die Enkelin,
705,die Kindheit,
706,überhaupt,
707,das Schicksal,
708,mancher,
709,fröhlich schwierig vorsichtig,
710,der Enkel,
711,das Tier,
712,plötzlich unbedingt,
713,tot zuletzt,
714,die Buchstaben,
715,die Hauptperson,
716,die Handlung,
717,en dumm,
718,dümmer,
719,der Humor,
720,der Trailer,
721,das Talent,
722,der Witz,
723,gewonnen dümmsten,
724,der Th,
725,die Mail,
726,die App,
727,das Foto,
728,real,
729,der Hotelkaufmann,
730,die Krankenschwester,
731,die Auszubildende,
732,die Berufserfahrung,
733,die Arztpraxis,
734,die Grundschule,
735,die Hauptschule,
736,die Gesamtschule,
737,die Realschule,
738,die Berufsschule,
739,das Schulsystem,
740,das Bundesland,
741,die Arzthelferin,
742,das Gymnasium,
743,der Altenpfleger,
744,der Englischlehrer,
745,die Hotelkauffrau,
746,der Krankenpfleger,
747,die Gärtnerin,
748,die Arbeitswelt,
749,die Erfahrung,
750,das Handwerk,
751,die Werbeagentur,
752,das Reisebüro,
753,die AG,
754,das Au-pair,
755,der Grafiker,
756,der Azubi,
757,die Lehre,
758,die Messe,
759,der Schulabschluss,
760,der Abschluss,
761,die Direktorin,
762,die Schülerin,
763,der Klasse,
764,das Klassenzimmer,
765,die Unterrichtszeit,
766,die Cafeteria,
767,der Stundenplan,
768,die Fremdsprache,
769,die Klassenfahrt,
770,die Schuluniform,
771,die Vorbereitung,
772,der Schulweg,
773,der Vokabeltest,
774,das Abitur,
775,das Zeugnis,
776,der Direktor,
777,die Dauer,
778,die Ferien,
779,der Schüler,
780,das Fach,
781,einhunderteins,
782,ausschlafen,
783,die Grafik,
784,die Behinderung,
785,verlieren,
786,der Rollstuhl,
787,die Erholung,
788,die Erinnerung,
789,die Weltreise,
790,erwachsen unabhängig,
791,sozial,
792,eine Vorlesung,
793,das Das,
794,die Gemeinsamkeit,
795,Das sehe ich anders,
796,die Vorlesung,
797,die Hauptsache,
798,der Unterschied,
799,zustimmen überraschen wenigstens,
800,teilnehmen,
801,liegen,
802,empfangen,
803,der Platz,
804,einen Plan,
805,anmelden,
806,der Flohmarkt,
807,dem Sofa,
808,der Aufenthalt,
809,die Reservierung,
810,spätestens weiter,
811,der Verein,
812,absagen zusagen gemeinsam organisieren,
813,der Eingang,
814,informieren weiterhelfen,
815,die Zigarette,
816,das WC,
817,bitter salzig sauer scharf,
818,wone,
819,abschließen,
820,die Hochzeit,
821,die Rentnerin,
822,die Ausbildung,
823,geboren sein geschieden,
824,der Rentner,
825,die Überstunde,
826,der Augenoptiker,
827,die Bankkauffrau,
828,das Stadtzentrum,
829,dem Land,
830,vor,
831,zusammenleben,
832,die Note,
833,weitersuchen,
834,das Apartment,
835,wohnen,
836,eine Sprache,
837,fließend sprechen,
838,die Kollegen,
839,die Angst,
840,die Sätze,
841,der Gegenstand,
842,der Sinn,
843,der Bruder,
844,fast,
845,er einer,
846,das E-Bike der TÜV,
847,die Fahrt die Versicherung,
848,die Linie die Zugfahrt,
849,das Bordbistro von U,
850,das Kinderabteil die Ex,
851,die Monatskarte das Pr,
852,das Chaos pendeln die Ur,
853,er fährt,
854,die Kombination Autos il,
855,er fliegt ab,
856,die Konsequenz ist abgeflogen dafür st,
857,das Konzept der Abflug,
858,das Fahrzeug landen andere,
859,das Kfz / das der Artik,
860,der Motor gegenüber von,
861,die Panne die Richtung,
862,das Navi rückwärts,
863,der Diesel vorbeilgehen,
864,er geht,
865,die Tankstelle die Kreuzung,
866,er hält,
867,hat gehalten,
868,einen Service nutzen,
869,der Kundenservice die Stadtbesichtigung,
870,die Expertin schon mal,
871,das Prozent die SMS,
872,die Untersuchung die Werbung,
873,die Meinung sagen ewig,
874,er verspricht,
875,er hat vor,
876,das Klavier unternehmen,
877,er unter,
878,hat unternommen,
879,er verschiebt,
880,das Interesse hat verschoben,
881,die Bücherei der Arbeitgeber,
882,die Sprechstunde freiberuflich,
883,das Sekretariat stundenweise,
884,die Schrift pensioniert,
885,die Einführung die Rente,
886,der Stoff die Seniorin,
887,die Disziplin dolmetschen,
888,er bietet,
889,hat neutral bleiben,
890,das Feedback die Kommunikation,
891,der Service die Mitteilung,
892,die Reparatur zurecht kommen,
893,er kommt zurecht,
894,das Werkzeug zurechtgekommen,
895,er wirft weg,
896,hat weggeworfen dabei haben,
897,eine Präsentation halten einzeln,
898,eine Präsentation halten erforderlich,
899,er trägt vor,
900,die Einleitung der Prospekt,
901,die Gliederung das Herz,
902,der Hauptteil die Figur,
903,der Inhalt das Mineralwasser,
904,der Punkt die Zitrone,
905,die Zuhörerin die Mitternacht,
906,das Standesamt prima,
907,die Sportart der Skistock,
908,das Kajak das Surfbrett,
909,das Kitesurfen die Taucherbrille,
910,er läuft lang,
911,das Tor der Fußballstar,
912,er schießt,
913,er wirft,
914,hat treu,
915,er benimmt,
916,hat benommen,
917,die Radtour das Vorbild,
918,er reitet,
919,ist geritten sympathisch,
920,der Wettbewerb verlieren,
921,er verliert,
922,der Fußballschuh die Katastrophe,
923,der Helm Vorschläge machen,
924,die Matte Was denkst du,
925,das Mountainbike wir,
926,die Einwohnerin ausfallen,
927,er fällt aus,
928,das Gebiet zurückgeben,
929,er gibt,
930,die Umgebung zurück,
931,hat zurückgegeben,
932,der Nationalpark bewachen,
933,die Höhle der Kanton,
934,das Zuhause das Päckchen,
935,er stinkt,
936,er kommt,
937,ist vorgekommen,
938,das Hausboot ein Fest vorbereiten,
939,der Luxus das Spielzeug,
940,das Stockwerk das Kissen,
941,er hängt,
942,die Fläche Zimmer tauschen,
943,er zieht ein,
944,ist eingezogen,
945,er gießt,
946,hat ge,
947,er kennt,
948,hat ausgekannt modisch,
949,er gibt her,
950,das Haustier weglaufen,
951,er läuft weg,
952,ist weggelaufen,
953,er läuft,
954,ist zurückgelaufen,
955,die Ratte Zulassung zum Studium,
956,der Hase per,
957,das Schaf schmutzig,
958,die Besitzerin nie mehr,
959,das Futter zum Teil,
960,er vergeht,
961,die Ehe Wofür interessierst du,
962,die Hausfrau dich,
963,er vorbereiten,
964,einen Kuchen backen kümmern,
965,er entlässt,
966,er behält,
967,der Export der Strom,
968,der Import die Hektik,
969,die Frist der Helfer,
970,hat verbracht besitzen,
971,er besitzt,
972,das Gold betrunken,
973,er meist,
974,ist vor allem,
975,er bricht,
976,das Berufsleben die F,
977,die Unterhaltung der Warenkorb,
978,das Werk zuzüglich,
979,er inklusive,
980,der König die Vorwahl,
981,die Königin Mobil,
982,eine Führung mitge,
983,der Roman die Zahlungsart,
984,die Verfilmung Meldungen,
985,das Festival -nen,
986,der Hit die Hörerin,
987,er verschläft,
988,die Stimmung die Sammlerin,
989,ein Ticket online kaufen,
990,er knapp,
991,er fällt auf,
992,er erhält,
993,einen Termin einhalten professionell,
994,er berät,
995,die Zugverbindung mehr,
996,die Hinfahrt das Plastik,
997,die Rückfahrt erfolgreich,
998,die Klasse die Übersetzerin,
999,eine Fahrtkarte für die der Chirurg,
1000,die Ermäßigung die Freiheit,
1001,die Band telefonieren,
1002,die Sängerin der Anrufer,
1003,er hilft mit,
1004,er hinterlässt,
1005,er ruft zurück,
1006,die moderne Arbeitswelt auf keinen Fall,
1007,der Betrieb möglich,
1008,die Fabrik häufig,
1009,er nimmt zu,
1010,der Austausch der Feiertag,
1011,eine gute Zugverbindung suchen,
1012,die Fahrerin die Zutat,
1013,die Polizei bei der Behörde,
1014,er le,
1015,die Feuerwehr die Behörde g,
1016,die Sicherheit der Beamte,
1017,die Müllabfuhr die Einbürgerung,
1018,die Mülltonne das Dokument,
1019,er gibt ab,
1020,einen job suchen der Personalausweis,
1021,die Stellenanzeige beantragen,
1022,er bewirbt,
1023,das Vorstellungs- das Visum,
1024,die Bezahlung der/die Angestellte,
1025,er hebt ab,
1026,einen Betrag überweisen,
1027,er gibt aus,
1028,die Bankkarte bitten,
1029,er bittet,
1030,der Kredit der Gefallen,
1031,die Geldbörse um einen Gefallen bitten,
1032,er leiht,
1033,hat dringend,
1034,die Liebe tausche,
1035,die Geburtstagsparty Erfahru,
1036,der Führerschein Das ist ja toll,
1037,er besteht,
1038,der Club hat ange sich streiten,
1039,er streitet,
1040,das Brautpaar hat gestritten sich aus,
1041,der Sieg Schade! sich ents,
1042,das Feuerwerk Das macht nichts. unterrich,
1043,die Karte aufregend,
1044,ihr genervt,
1045,die Absage stolz,
1046,er steht,
1047,er fällt,
1048,ist gefallen,
1049,er bietet an,
1050,hat angeboten kostenlos,
1051,er spricht nirgends,
1052,hat ausgesprochen fremd,
1053,er entscheidet,
1054,hat wahr,
1055,er fährt weg,
1056,der Vergleich ein Start-Up gründen,
1057,die Komödie der Liebesfilm,
1058,er lädt hoch,
1059,die Enkelin die Kindheit sterben,
1060,er stirbt,
1061,er gewinnt,
1062,die Hotelkauffrau der Krankenpfleger,
1063,die Gärtnerin die Arbeitswelt,
1064,das Handwerk die Werbeagentur,
1065,das Au-pair der Grafiker,
1066,die Unterrichtszeit die Cafeteria,
1067,er schläft aus,
1068,die Vorlesung die Meinung sagen,
1069,er nimmt teil,
1070,er liegt,
1071,ist geritten,
1072,er empfängt,
1073,er hilft,
1074,er schließt ab,
1075,hat abgeschlossen,
1076,die Hochzeit die Rentnerin die Ausbildung,
1077,die Überstunde der Augenoptiker,
1078,er schlägt,
1079,hat vorgeschlagen achtundachtzig,
1080,er ruft,
1081,hat gerufen,
1082,der Sinn das Handy,
