sn,german,english
132,"die Beratung, -en gehörlose Menschen.) gehörlos",
133,"die Förderung, -en",
134,"bieten, er bietet, hat neutral bleiben",
135,geboten kommunizieren,
136,"das Feedback, -s die Kommunikation (Sg.)",
137,"der Trick, -s",
138,"der Zeitplan, e anderen helfen",
139,"realistisch die Aktion, -en",
140,starten,
141,"100 einhundert der/die Freiwillige, -n 1.",
142,8 - + O,
143,Lernwortschatz 8,
144,sorgen,
145,"der Service, -s die Mitteilung, -en",
146,existieren,
147,reparieren,
148,"die Reparatur, -en zurecht kommen, er kommt zurecht, ist",
149,"das Werkzeug, -e zurechtgekommen",
150,"wegwerfen, er wirft weg, beschweren (sich)",
151,hat weggeworfen dabei haben,
152,gebraucht (Ich kaufe oft putzen,
153,gebrauchte Sachen.) spülen,
154,voneinander (Wir haben,
155,viel voneinander gelernt.) tief,
156,fett,
157,eine Präsentation halten einzeln,
158,eine Präsentation halten erforderlich,
159,"vor|tragen, er trägt vor, die Hälfte, -n",
160,"er hat vorgetragen die Menge, -n",
161,"beachten (Was soll man die Qualität, en",
162,"beachten?) der Katalog, -e",
163,"die Einleitung, -en der Prospekt, -e",
164,"die Gliederung, -en das Herz, -en",
165,"der Hauptteil, -e die Figur, -en",
166,"der Inhalt, -e das Mineralwasser, -",
167,"der Punkt, -e die Zitrone, -n",
168,"der Schluss, e die Portion, -en",
169,flüssig tagsüber,
170,"die Zuhörerin, -nen die Mitternacht (Sg.) (um Mitternacht)",
171,"andere wichtige Wörter und Wendungen der Wald, er",
172,"der/die Angehörige, - notwendig",
173,"das Standesamt, -er prima",
174,"das Forum, Foren sowieso",
175,abonnieren übrigens,
176,"die Mailbox, -en",
177,Wichtig für mich:,
178,Ergänzen Sie passende Verben.,
179,3. einen Zeitplan,
180,1. den Stoff,
181,4. eine Präsentation,
182,2. einen Ratschlag,
183,einhunderteins 101,
184,9 Lernwortschatz,
185,"Sport machen der Schläger, -",
186,"die Sportart, -en der Skistock, *e",
187,"sich bewegen das Paddel, -",
188,"das Kajak, -s (Kajak fahren) das Surfbrett, -er",
189,"das Kitesurfen (Sg.) die Taucherbrille, -n",
190,surfen,
191,tauchen Vereine und Fans,
192,"lang|laufen, er läuft lang, der Sportverein, -e (Ich bin",
193,ist langgelaufen im Sportverein.),
194,"Volleyball spielen die Mannschaft, -en",
195,"das Tor, -e der Fußballstar, -s",
196,"schießen, er schießt, der Fanartikel, - (Mein Sohn",
197,hat geschossen (ein Tor kauft viele Fanartikel von,
198,schießen) seinem Lieblingsverein.),
199,"werfen, er wirft, hat treu (Sie ist ein treuer Fan.)",
200,geworfen (Wirf den Ball zu,
201,"mir!) benehmen (sich), er benimmt, hat benommen",
202,mit spielen (Er benimmt sich wie ein,
203,"das Rad, er (Rad fahren) Fußballstar.)",
204,"die Radtour, -en das Vorbild, -er",
205,"reiten, er reitet, ist geritten sympathisch",
206,Yoga machen großartig,
207,"der Kletterer, - genial",
208,"die Kletterin, -nen unglaublich (Das Spiel war",
209,"die Wanderung, -en (eine unglaublich gut!)",
210,Wanderung machen) der Wahnsinn (Sg.),
211,"die Strecke, -n (Wahnsinn! So ein tolles",
212,die Kondition (5g.) (Ich Spiel.),
213,"muss mehr Sport machen, Das war wahnsinnig gut!",
214,"ich habe nicht genug die Hoffnung, -en",
215,Kondition.),
216,bestimmt (Das nächste Mal,
217,die Gesundheit (Sg.) klappt es bestimmt.),
218,"entspannen (sich) (Beim der Erfolg, -e",
219,Sport kann ich mich gut,
220,"entspannen.) die Enttäuschung, -en",
221,"der Wettbewerb, -e verlieren, er verliert, hat",
222,verloren (Wir haben das,
223,Sportgeräte Spiel verloren.),
224,"der Fußballschuh, -e die Katastrophe, -n (Das ist eine Katastrophe!)",
225,"der Klettergurt, -e",
226,"der Helm, -e Vorschläge machen",
227,"die Matte, -n Was denkst du, sollen",
228,"das Mountainbike, -s wir...?",
229,Wir könnten ...,
230,112 einhundertzwölf,
231,9,
232,Lernwortschatz,
233,einverstanden sein,
234,stark (Heute regnet es,
235,passen (So machen wir es.,
236,Das passt mir gut.) stark.) trocken (Heute bleibt es,
237,trocken.),
238,unterwegs in D-A-CH,
239,"die Anreise, -n andere wichtige Wörter und Wendungen",
240,"der Einwohner, - außer (+ D.)",
241,"die Einwohnerin, -nen aus|fallen, er fällt aus, ist",
242,Sohn entfernt (Salzburg ist nur,
243,ausgefallen (Das Spiel fällt,
244,40 km entfernt.) leider aus.),
245,kulturell (Das kulturelle deshalb,
246,Angebot ist grois.) trotzdem,
247,an.). faszinierend basteln,
248,"das Gasthaus, er die Kette, -n",
249,"hinunter das Material, -ien",
250,"das Gebiet, -e zurück|geben, er gibt",
251,"die Umgebung, -en zurück, hat zurückgegeben",
252,"der Nationalpark, -s bewachen",
253,"das Tal, er der Staat, -en",
254,"die Höhle, -n der Kanton, -e",
255,"der Führer, - (Sie wandern der Cousin, -s",
256,"mit einem Führer durch die die Cousine, -n",
257,"Höhle.) die Sendung, -en",
258,"var die Führerin, -nen eine Antwort geben",
259,"die Temperatur, -en (Die der Hinweis, -e",
260,Temperatur liegt unter null quer,
261,Grad.) übermorgen,
262,"der Nebel, - neulich",
263,Wichtig für mich:,
264,Mal,
265,Welchen Sport macht man draußen? Notieren Sie acht Sportarten.,
266,Was passt zusammen? Ordnen Sie zu.,
267,langlaufen | schießen | klettern | verlieren | entspannen | tragen,
268,1. einen Helm 3. im Winter 5. in den Bergen,
269,2. sich beim Sport- 4. ein Tor. 6. ein Spiel,
270,einhundertdreizehn 113,
271,10 Lernwortschatz,
272,"der Blumentopf, ""e",
273,"Wohnformen der Briefkasten,",
274,"das Zuhause (Sg.) das Päckchen, -",
275,"der Bauernhof, e aus|packen",
276,"die Ferienwohnung, -en der Lärm (Sg.) (sich über",
277,"der Bauer, -n den Lärm beschweren)",
278,"mitten (mitten in der stinken, er stinkt, hat",
279,Natur) gestunken (Der Müll stinkt.),
280,"einsam Verzeihung, bitte!",
281,"der Stadtrand, er (am vor|kommen, er kommt",
282,"Stadtrand wohnen) vor, ist vorgekommen",
283,"außerhalb von (+ D.) (Entschuldigung, das",
284,(6 km außerhalb vom kommt nicht mehr vor.),
285,Dorf wohnen),
286,"das Hausboot, -e ein Fest vorbereiten",
287,"das Ufer, - das Sommerfest, -e",
288,schaukeln (Das Boot,
289,"schaukelt auf dem Wasser.) die Torte, -n (Kuchen und",
290,Torten mitbringen),
291,nass,
292,"spiegeln (sich) (Wolken der Wein, -e",
293,"spiegeln sich im Wasser.) das Poster, -",
294,"einfach (Das Leben ist sehr der Lampion, -s",
295,"einfach.) die Kerze, -n",
296,"der Luxus (Sg.) das Spielzeug, e",
297,"das Gartenhaus, er der Roller, - (mit dem Roller",
298,"der Altbau, -ten fahren)",
299,"das Stockwerk, -e das Kissen, -",
300,"der Keller, - legen (das Kissen auf den",
301,"das Dach, er Stuhl legen)",
302,"der Boden, * hängen (Er hängt",
303,Lampions in den Baum.),
304,"Maße angeben hängen, er hängt, hat",
305,"die Länge, -n gehangen (Das Poster",
306,"die Breite, -n hängt am Gartenhaus.)",
307,"die Höhe, -n",
308,"die Fläche, -n Zimmer tauschen",
309,"der Quadratmeter, - die Mieterin, -nen",
310,"(= qm, m2) der Mitbewohner, -",
311,möbliert,
312,Nachbarn die Nebenkosten (Pl.),
313,nebenan (in der Wohnung,
314,"nebenan leben) ein|ziehen, er zieht ein, ist eingezogen",
315,"gießen, er gießt, hat ge-",
316,gossen (die Blumen gießen) gespannt (Ich bin schon gespannt.),
317,128 einhundertachtundzwanzig,
318,4 ^ 5 F9 V,
319,6 & F10,
320,W 7 F11 E,
321,8,
322,R,
323,+,
324,10,
325,Lernwortschatz,
326,"aus|kennen (sich), er kennt",
327,"aus, hat ausgekannt modisch",
328,verirren (sich) besorgt (Die Besitzer,
329,kündigen (die Arbeit / die waren besorgt.),
330,Wohnung kündigen) blitzschnell,
331,"herlgeben, er gibt her, hat",
332,Tiere hergegeben,
333,"das Haustier, -e weg|laufen, er läuft weg,",
334,ist weggelaufen,
335,"die Katze, -n",
336,"zurück|laufen, er läuft",
337,"das Kätzchen, - (So ein zurück, ist zurückgelaufen",
338,süßes kleines Kätzchen!),
339,bellen (Der Hund bellt laut.) andere wichtige Wörter und Wendungen,
340,"der Vogel, - die Zulassung, -en (die",
341,"die Ratte, -n Zulassung zum Studium",
342,"die Maus, ""е bekommen)",
343,"der Hase, -n per (etwas per Mail schicken)",
344,"die Kuh, *e intensiv",
345,"das Schaf, -e schmutzig",
346,"das Schwein, -e nämlich (Der Hund war",
347,"der Bär, -en nämlich gern allein.)",
348,"die Besitzerin, -nen nie mehr",
349,das Futter (Sg.) zum Teil,
350,füttern (die Katze füttern) zumindest,
351,"dick (Viele Haustiere sind als (Als ich ein Kind war, ...)",
352,zu dick.) die Vergangenheit (Sg.),
353,"dünn (Der Hund war sehr der Stil, -e",
354,dünn.) verbessern,
355,"der Tierarzt, e die Veränderung, -en",
356,Wichtig für mich:,
357,Sammeln Sie zu jedem Bild fünf Wörter und Ausdrücke. Schreiben Sie dann zu einem Bild einen kurzen Text.,
358,11 Lernwortschatz,
359,an deiner Stelle,
360,Lebensphasen meiner Meinung nach,
361,"vergehen, er vergeht,",
362,ist vergangen Ausflüge organisieren,
363,Die Zeit vergeht schnell. interessieren (sich),
364,"die Ehe, -n (für + A.) Wofür interessierst du",
365,"die Hausfrau, -en dich?",
366,"der Hausmann, er vorbereiten (sich)",
367,backen (auf + A.),
368,einen Kuchen backen kümmern (sich) (um + A.),
369,bauen Worum kümmert sich,
370,ein|richten (das Zimmer Linda?,
371,schön einrichten) unterhalten (sich) (mit,
372,sparen + D.),
373,verletzen (Ich habe mich Mit wem hast du dich so,
374,an der Hand verletzt.) lang unterhalten?,
375,verreisen (Wir verreisen erinnern (sich) (an + A.),
376,nicht oft.) Ich erinnere mich noch an,
377,den letzten Ausflug.,
378,Arbeit,
379,an|stellen Alles bestens.,
380,"entlassen, er entlässt,",
381,hat entlassen (Die Firma Zeitreise,
382,"musste ihn entlassen.) das Feuer, -",
383,"behalten, er behält, hat das Gas, -e",
384,behalten (Er möchte seine,
385,"Stelle behalten.) die Heizung, -en",
386,heizen,
387,"der Werktag, -e",
388,"der Export, -e der Strom (Sg.)",
389,"der Import, -e die Hektik (Sg.) (ein Leben ohne Hektik und Stress)",
390,"die Frist, -en der Helfer, -",
391,"(Frei-)Zeit die Helferin, -nen",
392,"Ich würde gern ... der Notfall, -e",
393,aus|schalten (das Handy Bei einem Notfall rufen,
394,ausschalten) wir die Polizei.,
395,"klingeln (Das Handy hat die Unterkunft, *e",
396,"geklingelt.) bieten, er bietet, hat",
397,ständig (Sie rufen ständig geboten (Wir bieten,
398,an.) Unterkunft.),
399,"schimpfen das Einkaufszentrum,",
400,-zentren,
401,"verbringen (mit + D.), er",
402,"verbringt, hat verbracht besitzen, er besitzt, hat",
403,(Zeit mit der Familie besessen,
404,verbringen) produzieren,
405,Lernwortschatz,
406,träumen (von + D.),
407,"die Lücke, -n",
408,verzichten (auf + A.),
409,das Mitleid (Sg.) (Ich habe,
410,altmodisch Mitleid mit ihm.),
411,damals Du Armer! / Du Arme!,
412,besorgen (Ich muss noch,
413,Sprichwörter etwas im Supermarkt,
414,"das Sprichwort, wer besorgen.)",
415,"die Erklärung, en der Alkohol (Sg.)",
416,das Gold (Sg.) betrunken,
417,der Rat (Sg.) (Ich gebe dir bluten,
418,einen Rat.) effektiv,
419,heilen kühl (Am Abend ist es,
420,kühl.),
421,andere wichtige Wörter und Wendungen niedrig,
422,Acht geben reich,
423,"herein kommen, er meist",
424,"kommt herein, ist vor allem (v. a.)",
425,"hereingekommen Papa (Hilfst du mir, Papa?) -",
426,"brechen, er bricht, ist",
427,gebrochen (Das Glas ist,
428,gebrochen.),
429,Wichtig für mich:,
430,Sammeln Sie Wörter zu den Lebensphasen.,
431,Kind sein,
432,das Berufsleben die F,
433,die Schulzeit,
434,12 Lernwortschatz,
435,"Gute Unterhaltung! die Reihe, -n",
436,"die Unterhaltung (Sg.) der Warenkorb, *e",
437,(Wir wünschen Ihnen gute netto,
438,Unterhaltung!) die Mehrwertsteuer (Sg.),
439,"die Gesellschaft, -en (Mwst.)",
440,"das Werk, -e zuzüglich (zzgl.)",
441,"das Schloss, er inklusive (inkl.)",
442,"der König, -e die Vorwahl, -en",
443,"die Königin, -nen Mobil- (die Mobilnummer)",
444,"die Führung, -en (Wir der Versand (Sg.)",
445,haben im Museum die Versandkosten (Pl.),
446,eine Führung mitge-,
447,"macht.) die Gebühr, -en",
448,"der Roman, -e die Zahlungsart, -en",
449,"der Bestseller, - die Überweisung, -en",
450,jährlich,
451,"die Verfilmung, -en Meldungen",
452,"meist- (der meist- die Meldung, -en",
453,"abonnierte Video-Kanal) der/die Prominente, -n",
454,"der Nachrichtensprecher, -",
455,"Festivalbesuch die Nachrichtensprecherin,",
456,"das Festival, -s -nen",
457,"live der Hörer, -",
458,"der Hit, -s die Hörerin, -nen",
459,"der Musikstil, e die Sendung, -en",
460,"Pop der Einsatz, e",
461,"Rap die Stimme, -n",
462,Rock die Stille (Sg.),
463,"rockig verschlafen, er verschläft,",
464,Elektro hat verschlafen,
465,"melodisch der Sammler, -",
466,"die Stimmung, -en die Sammlerin, -nen",
467,"der Campingplatz, *e das Schnäppchen, -",
468,"die Übernachtung, -en (Nur 5 Euro? Das ist ein",
469,Schnäppchen!),
470,"die Verpflegung, -en",
471,"der Wert, -e",
472,"der Rucksack, e",
473,wertvoll (Das Bild ist sehr,
474,wertvoll.),
475,ein Ticket online kaufen,
476,befreundet (Er ist mit einer,
477,"der Kauf, e Kunstexpertin befreundet.)",
478,"der Stehplatz, e bestätigen",
479,"der Sitzplatz, ™e das Quiz, -ze",
480,Lernwortschatz,
481,Malerei,
482,die Malerei (Sg.) andere wichtige Wörter und Wendungen,
483,die Kriminalität (Sg.),
484,"der Titel, (Auf dem Bild",
485,"mit dem Titel „Abend"" sieht die Gewalt (Sg.)",
486,man ...) wild (Das war eine wilde,
487,Zeit.),
488,"die Bedeutung, en",
489,"der Ausblick, -e (Von hier gut/schlecht gelaunt sein",
490,hat man einen tollen -jährig (Er hat eine,
491,Ausblick auf das Meer.) zweijährige Tochter.),
492,"das Blatt, er knapp",
493,unendlich,
494,hübsch,
495,abschließend,
496,verrückt (Ich finde die,
497,Farben auf dem Bild ein insbesondere,
498,"bisschen verrückt.) auf|fallen, er fällt auf, ist",
499,uninteressant aufgefallen (Was fällt dir,
500,an dem Bild auf?),
501,abstrakt,
502,"erhalten, er erhält, hat",
503,"der Vordergrund, ™e (im erhalten",
504,Vordergrund),
505,"die Hauptrolle, -n (Sie",
506,davor spielt die Hauptrolle in,
507,"der Hintergrund, *e (im meinem Lieblingsfilm.)",
508,"Hintergrund) der Wanderer, -",
509,"dahinter die Wanderin, -nen",
510,"die Stelle, -n (Das Bild die Realität (Sg.)",
511,"zeigt die Stelle, wo heute die Rückfrage, -n",
512,der Supermarkt ist.),
513,unter anderem (u. a.),
514,hell- (Die Blätter sind,
515,hellgrün.) wie immer,
516,dunkel- (Der Himmel ist,
517,dunkelblau.),
518,ab|malen,
519,Wichtig für mich:,
520,Beschreiben Sie das Bild. Was ist wo? Wie ist die Stimmung?,
521,erleben,
522,Arbeitswelten,
523,"der Trainer, -",
524,"die Tätigkeit, -en",
525,einen Termin einhalten professionell (eine professionelle Trainerin),
526,"beraten, er berät, hat",
527,beraten,
528,sich beeilen den Beruf wechseln,
529,"klappen (Hier klappt gar der Berufswunsch, *e",
530,nichts!) beruflich,
531,der Ärger (Sg.) komplett (beruflich,
532,komplett neu anfangen),
533,"am Bahnhof und am Schalter der Neuanfang, ™e",
534,"die Bahn, -en selbstständig (sich",
535,selbstständig machen),
536,"der Fahrplan, ™e",
537,"die Zugverbindung, -en mehr (Sie ist selbstständig und hat keinen Chef mehr.)",
538,"die Durchsage, -n",
539,"die Chance, -n",
540,"der Wagen, -",
541,nutzen (eine Chance,
542,"die Geschäftsreise, -n nutzen)",
543,"der Schalter, - die Umwelt (Sg.)",
544,die Hinfahrt (Sg.) das Plastik (Sg.),
545,die Rückfahrt (Sg.) erfolgreich,
546,"zurück kommen, er",
547,"kommt zurück, ist das Gehalt, er",
548,"zurückgekommen das Risiko, Risiken",
549,hin und zurück finanziell (das finanzielle,
550,"einfach (Nur einfach, bitte!) Risiko)",
551,"die Klasse, -n die Übersetzerin, -nen",
552,"eine Fahrtkarte für die der Chirurg, -en",
553,"Zweite Klasse das Herz, -en",
554,"nebeneinander (zwei Plätze die Oberärztin, -nen",
555,"nebeneinander) der Leiter, -",
556,"der Gang, e",
557,"der Lastwagen, -",
558,Wo möchten Sie sitzen:,
559,"am Gang oder Fenster? der Lkw, -S",
560,bereuen (eine,
561,Entscheidung nicht,
562,das Stadtprogramm bereuen),
563,"die Ermäßigung, -en die Freiheit (Sg.)",
564,preiswert,
565,"die Band, -s telefonieren",
566,"der Musiker, - das Telefonat, -e",
567,"die Sängerin, -nen der Anrufer, -",
568,"das Album, Alben",
569,"fantastisch der Anrufbeantworter, -",
570,sich konzentrieren,
571,152 einhundertzweiundfünfzig,
572,Lernwortschatz,
573,deutlich (Sprechen Sie,
574,"deutlich!) mit/helfen, er hilft mit,",
575,"das Blatt, er (ein Blatt hat mitgeholfen",
576,Papier bereitlegen) fest (kein festes Büro,
577,haben),
578,hektisch (nicht hektisch,
579,werden) befristet (einen befristeten Vertrag haben),
580,lächeln mobil,
581,stören (Störe ich?) das Wissen (Sg.),
582,"außer Haus sein die Kompetenz, -en",
583,"hinterlassen, er hinterlässt, lebenslang",
584,hat hinterlassen (eine,
585,Nachricht hinterlassen) problemlos,
586,"aus|richten (Können Sie die Hausarbeit, -en",
587,etwas ausrichten?),
588,"zurück|rufen, er ruft zurück, andere wichtige Wörter und Wendungen",
589,hat zurückgerufen in Ordnung,
590,also gut,
591,die moderne Arbeitswelt auf keinen Fall,
592,"der Arbeitstag, -e nun (Was machen wir",
593,sich verändern nun?),
594,"der Betrieb, -e möglich (Ist das möglich?)",
595,"die Fabrik, -en häufig",
596,komisch,
597,"die Maschine, -n",
598,"der Roboter, - unnötig",
599,unter (Reservierungen,
600,die Digitalisierung (Sg.) unter...),
601,virtuell einige,
602,erreichbar (immer schwanger,
603,"erreichbar sein) das Bier, -e",
604,"zunehmen, er nimmt zu,",
605,"hat zugenommen der Schritt, e",
606,"der Austausch (Sg.) der Feiertag, e",
607,"das Jahrhundert, e",
608,die Zusammenarbeit (Sg.),
609,Wichtig für mich:,
610,Sie wollen mit dem Zug fahren. Was machen Sie? Notieren Sie mindestens sieben Ausdrücke in der zeitlichen,
611,Reihenfolge.,
612,"eine gute Zugverbindung suchen,",
613,aussteiger,
614,5 Lernwortschatz,
615,im Restaurant arbeiten,
616,"in der Stadt die Aushilfe, -n eint",
617,"das Verkehrsmittel, - bedienen (die Gäste aus",
618,öffentlich (die öffentlichen bedienen) hat au:,
619,Verkehrsmittel) servieren (Essen und,
620,"Getränke servieren) eir der Fahrer, -",
621,die,
622,"die Fahrerin, -nen die Zutat, -en",
623,sp,
624,transportieren de,
625,die Polizei (Sg.) bei der Behörde,
626,"beschützen das Amt, er le",
627,"die Feuerwehr (Sg.) die Behörde, -n g",
628,"die Sicherheit (Sg.) der Beamte, -n",
629,"sich kümmern (sich um die die Beamtin, -nen b",
630,Patienten kümmern),
631,erledigen (ein paar Dinge,
632,pflegen erledigen),
633,"die Operation, -en aus|füllen (ein Formular",
634,die Straßenreinigung (Sg.) ausfüllen),
635,"auf|räumen der Antrag, *e",
636,die Ordnung (5g.) genehmigen (einen Antrag,
637,der Müll (Sg.) genehmigen),
638,"die Müllabfuhr (Sg.) die Einbürgerung, -en",
639,"die Mülltonne, -n das Dokument, -e",
640,"leeren (die Mülltonnen ab|geben, er gibt ab,",
641,leeren) hat abgegeben,
642,Angaben prüfen,
643,"einen job suchen der Personalausweis, -e",
644,"die Stellenanzeige, -n beantragen",
645,"sich bewerben, er bewirbt, verlängern (den Pass",
646,hat beworben verlängern),
647,"das Vorstellungs- das Visum, Visa (ein Visum",
648,"gespräch, -e beantragen)",
649,die Unterlagen (Pl.) gültig (Der Pass ist nicht,
650,"die Kenntnis, -se mehr gültig.)",
651,(Italienisch-Kenntnisse,
652,"haben) die Grenze, -n",
653,die Teilzeit (Sg.),
654,in Teilzeit arbeiten in der Bank,
655,"die Bezahlung (5g.) der/die Angestellte, -n",
656,"der Lohn, ""e ab heben, er hebt ab, hat",
657,spontan (spontan arbeiten abgehoben,
658,können) vom Konto Geld abheben,
659,"der Bescheid (Sg.) (Ich der Betrag, *e",
660,gebe Ihnen Bescheid.),
661,140 einhundertvierzig,
662,Lernwortschatz 5,
663,einen Betrag überweisen,
664,"auslgeben, er gibt aus, der Dom, -e",
665,"hat ausgegeben (Geld die Disco, -s",
666,ausgeben),
667,ein Konto eröffnen andere wichtige Wörter und Wendungen,
668,"die Bankkarte, -n bitten, er bittet,",
669,sperren hat gebeten,
670,"der Kredit, -e der Gefallen, -",
671,"die Geldbörse, -n um einen Gefallen bitten",
672,"leihen, er leiht, hat dringend (Es ist dringend.)",
673,geliehen das Beste (Sg.),
674,"der/die Nächste, -n",
675,"bei der Polizei der Fan, -s",
676,"der Diebstahl, ™e der Daumen, -",
677,melden drücken (die Daumen,
678,drücken),
679,weg sein (Das Handy war,
680,weg.) bunt,
681,modern,
682,funktionieren,
683,eine Stadt-Tour,
684,"der Gedanke, -n",
685,"der Stadtplan, e",
686,die Ruhe (Sg.),
687,"der Tourist, -en",
688,die Entspannung (Sg.),
689,"die Touristin, -nen neben (ein Job neben",
690,"der Politiker, - dem Studium)",
691,"die Politikerin, -nen über (über die Grenze",
692,"das Parlament, e fahren)",
693,"das Gesetz, e vor|stellen (Stell dir das",
694,die Verwaltung (Sg.) vor!),
695,"das Gebäude, - das Wunder, - (Kein",
696,Wunder!),
697,Wichtig für mich:,
698,Was machen Sie in dieser Situation? Ergänzen Sie passende Ausdrücke.,
699,1. Ihr Pass ist nur noch einen Monat lang gültig:,
700,2. Sie möchten einen Personalweis bekommen:,
701,3. Jemand hat Ihre Geldbörse gestohlen:,
702,4. Vor Ihnen liegt ein Formular:,
703,5. Sie brauchen für Ihren oh ein Konto.,
704,4 Lernwortschatz,
705,besondere Ereignisse keine Ahnung haben,
706,"die Geburt, -en die Laune, -n (Ich habe",
707,schmücken heute schlechte Laune.),
708,sich aus,
709,die Liebe (Sg.) tausche,
710,"die Geburtstagsparty, -s Erfahru",
711,"der Schultag, e (der erste sich wohl|fühlen fallen, e",
712,"Schultag die Freude, -n (Das Gl",
713,"der Führerschein, -e Das ist ja toll!",
714,Teppich,
