sn,german,english,example_de,info
45,bremsen,to brake,Bitte bremsen!,"Verb: bremsen, bremst."
46,vorwärts,forward,Wir gehen vorwärts.,Adverb.
47,die Garage,garage,Das Auto steht in der Garage.,Nomen (f); Plural: Garagen.
48,das Navi,satnav / GPS,Mein Navi zeigt den Weg.,Nomen (n); umgangssprachlich (kurz für Navigationsgerät).
49,das Benzin,gasoline / petrol,Wir brauchen Benzin.,Nomen (n); kein Plural.
50,der Diesel,diesel (fuel),Das Auto fährt mit Diesel.,Nomen (m); kein Plural.
51,tanken,to refuel,Ich tanke an der Tankstelle.,"Verb: tanken, tankt."
52,vorbei,past / over,Der Bus fährt vorbei.,Adverb/Partikel; auch: 'vorbei sein' = 'to be over'.
53,die Tankstelle,gas station,Die Tankstelle ist dort.,Nomen (f); Plural: Tankstellen.
54,die Kreuzung,intersection,An der Kreuzung rechts.,Nomen (f); Plural: Kreuzungen.
55,der Bus,bus,Der Bus kommt gleich.,Nomen (m); Plural: Busse. (OCR korrigiert)
56,die Ampel,traffic light,Die Ampel ist rot.,Nomen (f); Plural: Ampeln.
57,halten,to stop / to hold,Der Zug hält hier.,"Verb: halten, hält."
58,der Service,service,Der Service ist gut.,Nomen (m); Plural: Services. (Form korrigiert)
59,die Mama,mom,Meine Mama ist nett.,Umgangssprachlich; neutraler: 'die Mutter'.
60,der Kundenservice,customer service,Der Kundenservice hilft mir.,Nomen (m); auch: Kundendienst.
61,die Stadtbesichtigung,city tour,Wir machen eine Stadtbesichtigung.,Nomen (f); Plural: Stadtbesichtigungen.
62,telefonisch,by phone,Ich melde mich telefonisch.,Adverb/Adjektiv.
63,der Konzertsaal,concert hall,Der Konzertsaal ist voll.,Nomen (m); Plural: Konzertsäle.
64,erreichen,to reach / to contact,Ich kann dich nicht erreichen.,"Verb: erreichen, erreicht."
65,klatschen,to clap,Alle klatschen.,"Verb: klatschen, klatscht."
66,lösen,to solve,Ich löse die Aufgabe.,"Verb: lösen, löst."
67,das Gewitter,thunderstorm,Heute gibt es ein Gewitter.,Nomen (n); oft Singular.
68,registrieren,to register,Ich registriere mich.,"Verb: registrieren, registriert."
69,die Kaution,deposit,Ich zahle die Kaution.,Nomen (f); Plural: Kautionen.
70,die PIN,PIN code,Ich gebe die PIN ein.,Nomen (f); oft als PIN geschrieben.
71,der Zug,train,Der Zug ist pünktlich.,Nomen (m); Plural: Züge.
72,die Expertin,(female) expert,Die Expertin erklärt es.,Nomen (f); Plural: Expertinnen.
73,das Prozent,percent,Das sind 20 Prozent.,Nomen (n); Plural: Prozent.
74,die SMS,text message,Ich schreibe eine SMS.,Nomen (f); Plural: SMS.
75,der Tarif,tariff / plan,Ich nehme einen günstigen Tarif.,Nomen (m); Plural: Tarife.
76,die Untersuchung,examination / investigation,Die Untersuchung ist morgen.,Nomen (f); Plural: Untersuchungen.
77,die Werbung,advertising,Die Werbung nervt.,Nomen (f); meist Singular.
78,allgemein,generally,Allgemein ist das richtig.,Adverb.
79,die Meinung,opinion,Das ist meine Meinung.,Nomen (f); Plural: Meinungen.
80,der Meinung,of the opinion,"Ich bin der Meinung, dass das gut ist.",Feste Wendung: 'der Meinung sein'.
81,dafür sein,to be in favor (of),Ich bin dafür.,Feste Wendung; Gegenteil: 'dagegen sein'.
82,unpraktisch,impractical,Das ist unpraktisch.,Adjektiv.
83,unterschiedlich,different,Die Farben sind unterschiedlich.,Adjektiv.
84,dagegen sein,to be against,Ich bin dagegen.,Feste Wendung; Gegenteil: 'dafür sein'.
85,setzen,to put / to place,Ich setze das Glas auf den Tisch.,"Verb: setzen, setzt."
86,versprechen,to promise,Ich verspreche es.,"Verb: versprechen, verspricht."
87,der Artikel,article / item,Der Artikel ist interessant.,Nomen (m); Plural: Artikel.
88,die Zeitung,newspaper,Ich lese die Zeitung.,Nomen (f); Plural: Zeitungen. (Artikel korrigiert)
89,der Kinderwagen,stroller / pram,Das Baby ist im Kinderwagen.,Nomen (m); Plural: Kinderwagen.
90,ein passendes Verb,a suitable verb,Wir suchen ein passendes Verb.,Grammatik/Übung: passende Wortwahl.
91,die App,app,Ich lade die App herunter.,Nomen (f); Plural: Apps. (Form korrigiert)
92,mit dem Zug,by train,Ich fahre mit dem Zug.,Dativ nach 'mit'. Grundform: der Zug.
93,die Energie,energy,Ich habe heute keine Energie.,Nomen (f); meist Singular.
94,die Gitarre,guitar,Ich spiele Gitarre.,Nomen (f); Plural: Gitarren.
95,das Klavier,piano,Ich spiele Klavier.,Nomen (n); Plural: Klaviere.
96,das Instrument,instrument,Das Instrument ist teuer.,Nomen (n); Plural: Instrumente.
97,das Interesse,interest,Ich habe Interesse an Musik.,Nomen (n); Plural: Interessen.
98,klug,clever / smart,Du bist klug.,Adjektiv.
99,die Bücherei,library,Ich gehe in die Bücherei.,Nomen (f); Plural: Büchereien. Oft: 'Bibliothek'.
100,der Arbeitgeber,employer,Mein Arbeitgeber ist nett.,Nomen (m); Plural: Arbeitgeber.
101,der Kursleiter,course instructor,Der Kursleiter erklärt alles.,Nomen (m); Plural: Kursleiter.
102,anstellen,to hire / to employ,Die Firma stellt mich an.,"Verb: anstellen, stellt an. Auch: 'sich anstellen' = queue."
103,die Lehrende,teacher / instructor,Die Lehrende erklärt die Aufgabe.,Gender-neutrale Form (Partizip); auch: der Lehrende / die Lehrenden.
104,Vollzeit,full time,Ich arbeite in Vollzeit.,Meist ohne Artikel; Gegenteil: Teilzeit.
105,die Lernende,learner,Die Lernende übt Deutsch.,Gender-neutrale Form; auch: der Lernende.
106,die Sprechstunde,office hours / consultation,Die Sprechstunde ist am Montag.,Nomen (f); Plural: Sprechstunden.
107,das Sekretariat,office / secretariat,Das Sekretariat ist im Erdgeschoss.,Nomen (n); Plural: Sekretariate.
108,der Auftrag,assignment / order,Ich habe einen Auftrag.,Nomen (m); Plural: Aufträge.
109,der PC,PC / computer,Mein PC ist kaputt.,Nomen (m); Plural: PCs.
110,die Autorin,(female) author,Die Autorin schreibt ein Buch.,Nomen (f); Plural: Autorinnen.
111,der Babysitter,babysitter,Der Babysitter kommt um 18 Uhr.,Nomen (m); Plural: Babysitter.
112,die Konferenz,conference,Die Konferenz ist morgen.,Nomen (f); Plural: Konferenzen.
113,die Prüferin,(female) examiner,Die Prüferin stellt Fragen.,Nomen (f); Plural: Prüferinnen.
114,der Workshop,workshop,Der Workshop ist spannend.,Nomen (m); Plural: Workshops.
115,schriftlich zusammenarbeiten,to collaborate in writing,Wir arbeiten schriftlich zusammen.,Phrase; z. B. per E-Mail oder im Dokument.
116,die Schrift,writing / font,Die Schrift ist klein.,Nomen (f); auch: Handschrift / Schriftart.
117,die Einführung,introduction,Die Einführung ist kurz.,Nomen (f); Plural: Einführungen.
118,die Rente,pension / retirement pay,Meine Oma bekommt Rente.,Nomen (f); oft ohne Artikel.
119,der Stoff,fabric / material,Der Stoff ist weich.,Nomen (m); Plural: Stoffe. Auch: Unterrichtsstoff.
120,die Seniorin,senior (woman),Die Seniorin wohnt hier.,Nomen (f); Plural: Seniorinnen.
121,die Disziplin,discipline,Disziplin ist wichtig.,Nomen (f); Plural: Disziplinen.
122,das Stipendium,scholarship / grant,Ich bekomme ein Stipendium.,Nomen (n); Plural: Stipendien.
123,der Dolmetscher,interpreter,Der Dolmetscher übersetzt.,Nomen (m); Plural: Dolmetscher.
124,die Übersetzung,translation,Die Übersetzung ist gut.,Nomen (f); Plural: Übersetzungen.
125,der Ratschlag,piece of advice,Danke für den Ratschlag.,Nomen (m); Plural: Ratschläge.
126,die Beratung,consultation / advice,Ich brauche eine Beratung.,Nomen (f); Plural: Beratungen.
127,die Förderung,support / funding,Es gibt Förderung für Studenten.,Nomen (f); Plural: Förderungen.
128,bieten,to offer,Wir bieten Hilfe an.,"Verb: bieten, bietet."
129,geboten,offered / provided,Hier wird Hilfe geboten.,Partizip II von 'bieten'.
130,kommunizieren,to communicate,Wir kommunizieren per E-Mail.,"Verb: kommunizieren, kommuniziert."
131,das Feedback,feedback,Ich bekomme Feedback.,Nomen (n); oft ohne Plural.
132,die Kommunikation,communication,Die Kommunikation ist wichtig.,Nomen (f).
133,der Trick,trick / tip,Ich kenne einen Trick.,Nomen (m); Plural: Tricks.
134,der Zeitplan,schedule,Der Zeitplan ist voll.,Nomen (m); Plural: Zeitpläne.
135,die Aktion,promotion / campaign,Heute gibt es eine Aktion im Laden.,Nomen (f); Plural: Aktionen.
136,starten,to start,Wir starten um acht Uhr.,"Verb: starten, startet."
137,die Freiwillige,volunteer (female),Die Freiwillige hilft.,Nomen (f); Plural: Freiwillige. Auch: der Freiwillige.
138,sorgen,to take care / to worry,Ich sorge für das Kind.,Verb; auch: 'sich sorgen' = worry.
139,die Mitteilung,message / notification,Ich habe eine Mitteilung.,Nomen (f); Plural: Mitteilungen. Oft etwas formell.
140,existieren,to exist,Das Problem existiert.,"Verb: existieren, existiert."
141,reparieren,to repair,Ich repariere das Fahrrad.,"Verb: reparieren, repariert."
142,die Reparatur,repair,Die Reparatur kostet viel.,Nomen (f); Plural: Reparaturen.
143,das Werkzeug,tool,Ich brauche Werkzeug.,Nomen (n); Plural: Werkzeuge.
144,wegwerfen,to throw away,Bitte wirf das Papier weg.,"Verb (trennbar): wegwerfen, wirft weg."
145,sich beschweren,to complain,Ich beschwere mich.,Reflexives Verb: sich beschweren.
146,fett,fatty / greasy,Das Essen ist fett.,Adjektiv; auch als Nomen: 'das Fett'.
147,die Präsentation,presentation,Ich mache eine Präsentation.,Nomen (f); Plural: Präsentationen. (Form korrigiert)
148,vortragen,to present / to recite,Ich trage das Gedicht vor.,"Verb (trennbar): vortragen, trägt vor."
149,die Hälfte,half,Ich esse die Hälfte.,Nomen (f).
150,die Menge,amount / crowd,Die Menge ist groß.,Nomen (f); Plural: Mengen.
151,die Qualität,quality,Die Qualität ist gut.,Nomen (f); Plural: Qualitäten.
152,der Katalog,catalog,Ich lese den Katalog.,Nomen (m); Plural: Kataloge.
153,die Einleitung,introduction (of a text),Die Einleitung ist kurz.,Nomen (f); Plural: Einleitungen.
154,der Prospekt,brochure,Ich habe einen Prospekt.,Nomen (m); Plural: Prospekte.
155,die Gliederung,outline / structure,Die Gliederung ist klar.,Nomen (f); Plural: Gliederungen.
156,das Herz,heart,Mein Herz tut weh.,Nomen (n); Plural: Herzen.
157,der Hauptteil,main part,Der Hauptteil ist lang.,Nomen (m); Plural: Hauptteile.
158,die Figur,figure / character,Die Figur ist wichtig.,Nomen (f); Plural: Figuren.
159,der Inhalt,content,Der Inhalt ist interessant.,Nomen (m); Plural: Inhalte.
160,das Mineralwasser,mineral water,Ich trinke Mineralwasser.,Nomen (n); meist ohne Plural.
161,der Punkt,point / dot,Das ist ein wichtiger Punkt.,Nomen (m); Plural: Punkte.
162,die Zitrone,lemon,Ich kaufe eine Zitrone.,Nomen (f); Plural: Zitronen.
163,der Schluss,end / conclusion,Am Schluss gehen wir nach Hause.,Nomen (m); auch: 'der Schluss' = conclusion.
164,die Portion,portion / serving,Eine Portion bitte.,Nomen (f); Plural: Portionen.
165,flüssig,liquid,Die Suppe ist flüssig.,Adjektiv.
166,tagsüber,during the day,Tagsüber arbeite ich.,Adverb.
167,die Zuhörerin,(female) listener,Die Zuhörerin hört zu.,Nomen (f); Plural: Zuhörerinnen.
168,die Mitternacht,midnight,Um Mitternacht schlafe ich.,Nomen (f); meist Singular.
169,der Wald,forest,Wir gehen in den Wald.,Nomen (m); Plural: Wälder.
170,die Angehörigen,relatives / family members,Meine Angehörigen sind da.,Meist Plural; Singular: der/die Angehörige.
171,notwendig,necessary,Das ist notwendig.,Adjektiv. (Form korrigiert)
172,das Standesamt,registry office,Wir gehen zum Standesamt.,Nomen (n); Plural: Standesämter.
173,das Forum,forum,Ich schreibe im Forum.,Nomen (n); Plural: Foren.
174,abonnieren,to subscribe,Ich abonniere die Zeitung.,"Verb: abonnieren, abonniert."
175,übrigens,by the way,"Übrigens, ich komme später.",Satzadverb; steht oft am Satzanfang.
176,die Mailbox,voicemail,Ich habe eine Nachricht auf der Mailbox.,Nomen (f); Plural: Mailboxen.
177,der Schläger,racket / bat,Ich brauche einen Schläger.,Nomen (m); Plural: Schläger (Sport).
178,die Sportart,type of sport,Fußball ist eine Sportart.,Nomen (f); Plural: Sportarten.
179,der Skistock,ski pole,Ich habe zwei Skistöcke.,Nomen (m); Plural: Skistöcke.
180,das Paddel,paddle,Das Paddel ist kaputt.,Nomen (n); Plural: Paddel.
181,das Kajak,kayak,Wir fahren Kajak.,Nomen (n); Plural: Kajaks.
182,das Surfbrett,surfboard,Mein Surfbrett ist neu.,Nomen (n); Plural: Surfbretter.
183,das Kitesurfen,kitesurfing,Kitesurfen ist cool.,Nomen (n); Sport.
184,surfen,to surf,Ich surfe im Internet.,"Verb: surfen, surft."
185,langlaufen,to cross-country ski,Im Winter gehe ich langlaufen.,Verb; auch als Nomen: 'das Langlaufen'.
186,der Sportverein,sports club,Ich bin im Sportverein.,Nomen (m); Plural: Sportvereine.
187,die Mannschaft,team,Unsere Mannschaft ist gut.,Nomen (f); Plural: Mannschaften.
188,das Tor,goal,Er schießt ein Tor.,Nomen (n); Plural: Tore.
189,der Fußballstar,soccer star,Der Fußballstar ist berühmt.,Nomen (m); Plural: Fußballstars.
190,schießen,to shoot,Er schießt ein Tor.,"Verb: schießen, schießt."
191,werfen,to throw,Ich werfe den Ball.,"Verb: werfen, wirft."
192,der Ball,ball,Der Ball ist rund.,Nomen (m); Plural: Bälle.
193,das Rad,bicycle / wheel,Ich fahre Rad.,Nomen (n); Plural: Räder.
194,die Radtour,bike tour,Wir machen eine Radtour.,Nomen (f); Plural: Radtouren.
195,das Vorbild,role model,Mein Vater ist ein Vorbild.,Nomen (n); Plural: Vorbilder.
196,reiten,to ride (a horse),Ich reite gern.,"Verb: reiten, reitet."
197,der Kletterer,climber,Das ist der Kletterer.,Nomen (m); Plural: Kletterer.
198,genial,brilliant / awesome,Heute ist es genial.,Wort/Redemittel.
199,die Kletterin,(female) climber,Das ist die Kletterin.,Nomen (f); Plural: Kletterine.
200,die Wanderung,hike,Das ist die Wanderung.,Nomen (f); Plural: Wanderungen.
201,der Wahnsinn,madness / crazy thing,Das ist der Wahnsinn.,Nomen (m); meist ohne Plural.
202,die Strecke,distance / route,Das ist die Strecke.,Nomen (f); Plural: Strecken.
203,die Kondition,fitness / stamina,Das ist die Kondition.,Nomen (f); Plural: Konditionen.
204,Das war wahnsinnig gut,That was insanely good,Das war wahnsinnig gut!,Redemittel; 'wahnsinnig' = sehr / total.
205,die Hoffnung,hope,Das ist die Hoffnung.,Nomen (f); Plural: Hoffnungen.
206,die Gesundheit,health,Das ist die Gesundheit.,Nomen (f); Plural: Gesundheiten.
207,der Erfolg,success,Das ist der Erfolg.,Nomen (m); Plural: Erfolge.
208,die Enttäuschung,disappointment,Das ist die Enttäuschung.,Nomen (f); Plural: Enttäuschungen.
209,der Wettbewerb,competition,Das ist der Wettbewerb.,Nomen (m); Plural: Wettbewerbe.
210,der Fußballschuh,soccer shoe / cleat,Das ist der Fußballschuh.,Nomen (m); Plural: Fußballschuhe.
211,die Katastrophe,disaster,Das ist die Katastrophe.,Nomen (f); Plural: Katastrophen.
212,der Klettergurt,climbing harness,Das ist der Klettergurt.,Nomen (m); Plural: Klettergurte.
213,der Helm,helmet,Das ist der Helm.,Nomen (m); Plural: Helme.
214,die Matte,mat,Das ist die Matte.,Nomen (f); Plural: Matten.
215,sollen,should / to be supposed to,Ich will sollen.,Verb: sollen.
216,das Mountainbike,mountain bike,Das ist das Mountainbike.,Nomen (n); Plural: Mountainbiken.
217,einverstanden sein,to agree / to be fine with it,Ich bin einverstanden.,Adjektiv + sein; oft: 'Ich bin (damit) einverstanden.'
218,die Anreise,journey there / getting there,Das ist die Anreise.,Nomen (f); Plural: Anreisen.
219,der Einwohner,resident / inhabitant,Das ist der Einwohner.,Nomen (m); Plural: Einwohner.
220,außer,except / besides,Heute ist es außer.,Wort/Redemittel.
221,die Einwohnerin,(female) resident,Das ist die Einwohnerin.,Nomen (f); Plural: Einwohnerine.
222,das Gasthaus,guesthouse / inn,Das ist das Gasthaus.,Nomen (n); Plural: Gasthause.
223,die Kette,chain,Das ist die Kette.,Nomen (f); Plural: Ketten.
224,das Material,material,Das ist das Material.,Nomen (n); Plural: Materiale.
225,das Gebiet,area / region,Das ist das Gebiet.,Nomen (n); Plural: Gebiete.
226,die Umgebung,surroundings / area,Das ist die Umgebung.,Nomen (f); Plural: Umgebungen.
227,der Nationalpark,national park,Das ist der Nationalpark.,Nomen (m); Plural: Nationalparks.
228,das Tal,valley,Das ist das Tal.,Nomen (n); Plural: Täler.
229,der Staat,state / country,Das ist der Staat.,Nomen (m); Plural: Staaten.
230,die Höhle,cave,Das ist die Höhle.,Nomen (f); Plural: Höhlen.
231,der Kanton,canton,Das ist der Kanton.,Nomen (m); Plural: Kantone.
232,der Führer,guide,Das ist der Führer.,Nomen (m); Plural: Führer.
233,der Cousin,cousin (male),Das ist der Cousin.,Nomen (m); Plural: Cousins.
234,die Cousine,cousin (female),Das ist die Cousine.,Nomen (f); Plural: Cousinen.
235,die Sendung,TV/radio programme,Das ist die Sendung.,Nomen (f); Plural: Sendungen.
236,die Führerin,(female) guide,Das ist die Führerin.,Nomen (f); Plural: Führerine.
237,die Antwort,answer,Das ist die Antwort.,Nomen (f); Plural: Antworte.
238,die Temperatur,temperature,Das ist die Temperatur.,Nomen (f); Plural: Temperaturen.
239,der Hinweis,tip / hint,Das ist der Hinweis.,Nomen (m); Plural: Hinweise.
240,der Nebel,fog,Das ist der Nebel.,Nomen (m); meist ohne Plural.
241,neulich,recently,Heute ist es neulich.,Wort/Redemittel.
242,das Spiel,game,Das ist das Spiel.,Nomen (n); Plural: Spiel.
243,der Blumentopf,flower pot,Das ist der Blumentopf.,Nomen (m); Plural: Blumentopfe.
244,der Briefkasten,mailbox,Das ist der Briefkasten.,Nomen (m); Plural: Briefkastene.
245,das Zuhause,home (place),Das ist das Zuhause.,Nomen (n); meist ohne Plural.
246,das Päckchen,small parcel,Das ist das Päckchen.,Nomen (n); Plural: Päckchen.
247,der Bauernhof,farm,Das ist der Bauernhof.,Nomen (m); Plural: Bauernhöfe.
248,die Ferienwohnung,holiday apartment,Das ist die Ferienwohnung.,Nomen (f); Plural: Ferienwohnungen.
249,der Lärm,noise,Das ist der Lärm.,Nomen (m); meist ohne Plural.
250,der Bauer,farmer,Das ist der Bauer.,Nomen (m); Plural: Bauer.
251,bitte,please / you're welcome,Heute ist es bitte.,Wort/Redemittel.
252,der Stadtrand,outskirts (edge of town),Das ist der Stadtrand.,Nomen (m); Plural: Stadtränder.
253,das,that / this (neuter),Heute ist es das.,Wort/Redemittel.
254,das Hausboot,houseboat,Das ist das Hausboot.,Nomen (n); Plural: Hausboote.
255,das Fest,festival / party,Das ist das Fest.,Nomen (n); Plural: Feste.
256,das Ufer,shore / riverbank,Das ist das Ufer.,Nomen (n); Plural: Ufer.
257,das Sommerfest,summer festival,Das ist das Sommerfest.,Nomen (n); Plural: Sommerfeste.
258,das Wasser,water,Das ist das Wasser.,Nomen (n); meist ohne Plural.
259,die Torte,cake (cream cake),Das ist die Torte.,Nomen (f); Plural: Torten.
260,nass,wet,Heute ist es nass.,Wort/Redemittel.
261,der Wein,wine,Das ist der Wein.,Nomen (m); Plural: Weine.
262,das Poster,poster,Das ist das Poster.,Nomen (n); Plural: Poster.
263,der Lampion,paper lantern,Das ist der Lampion.,Nomen (m); Plural: Lampione.
264,die Kerze,candle,Das ist die Kerze.,Nomen (f); Plural: Kerzen.
265,der Luxus,luxury,Das ist der Luxus.,Nomen (m); meist ohne Plural.
266,das Spielzeug,toy(s),Das ist das Spielzeug.,Nomen (n); meist ohne Plural.
267,das Gartenhaus,garden shed / summer house,Das ist das Gartenhaus.,Nomen (n); Plural: Gartenhause.
268,der Roller,scooter,Das ist der Roller.,Nomen (m); Plural: Roller.
269,der Altbau,old building (pre-war),Das ist der Altbau.,Nomen (m); Plural: Altbauten.
270,das Stockwerk,floor / storey,Das ist das Stockwerk.,Nomen (n); Plural: Stockwerke.
271,das Kissen,pillow,Das ist das Kissen.,Nomen (n); Plural: Kissene.
272,der Keller,basement / cellar,Das ist der Keller.,Nomen (m); Plural: Keller.
273,das Dach,roof,Das ist das Dach.,Nomen (n); Plural: Dächer.
274,der Boden,floor / ground,Das ist der Boden.,Nomen (m); Plural: Böden.
275,die Länge,length,Das ist die Länge.,Nomen (f); Plural: Längen.
276,die Breite,width,Das ist die Breite.,Nomen (f); Plural: Breiten.
277,die Höhe,height,Das ist die Höhe.,Nomen (f); Plural: Höhen.
278,die Fläche,area / surface,Das ist die Fläche.,Nomen (f); Plural: Flächen.
279,der Quadratmeter,square meter,Das ist der Quadratmeter.,Nomen (m); Plural: Quadratmeter.
280,die Mieterin,(female) tenant,Das ist die Mieterin.,Nomen (f); Plural: Mieterine.
281,der Mitbewohner,roommate / flatmate,Das ist der Mitbewohner.,Nomen (m); Plural: Mitbewohner.
282,möbliert,furnished,Heute ist es möbliert.,Wort/Redemittel.
283,die Nebenkosten,additional costs (utilities),Das ist die Nebenkosten.,Nomen (f); meist ohne Plural.
284,die Wohnung,apartment / flat,Das ist die Wohnung.,Nomen (f); Plural: Wohnungen.
285,gießen,to water (plants) / to pour,Ich will gießen.,Verb: gießen.
286,gespannt,curious / excited,Heute ist es gespannt.,Wort/Redemittel.
287,auskennen,to know one's way around,Ich will auskennen.,Verb (trennbar): auskennen.
288,aus,out / off; from,Heute ist es aus.,Wort/Redemittel.
289,kündigen,to quit / to cancel,Ich will kündigen.,Verb: kündigen.
290,das Haustier,pet,Das ist das Haustier.,Nomen (n); Plural: Haustiere.
291,die Katze,cat,Das ist die Katze.,Nomen (f); Plural: Katzen.
292,zurücklaufen,to run back,Ich will zurücklaufen.,Verb (trennbar): zurücklaufen.
293,das Kätzchen,kitten,Das ist das Kätzchen.,Nomen (n); Plural: Kätzchen.
294,der Vogel,bird,Das ist der Vogel.,Nomen (m); Plural: Vögel.
295,die Zulassung,admission / registration,Das ist die Zulassung.,Nomen (f); Plural: Zulassungen.
296,die Ratte,rat,Das ist die Ratte.,Nomen (f); Plural: Ratten.
297,die Maus,mouse,Das ist die Maus.,Nomen (f); Plural: Mäuse.
298,der Hase,hare / bunny,Das ist der Hase.,Nomen (m); Plural: Hasen.
299,die Kuh,cow,Das ist die Kuh.,Nomen (f); Plural: Kühe.
300,das Schaf,sheep,Das ist das Schaf.,Nomen (n); Plural: Schafe.
301,das Schwein,pig,Das ist das Schwein.,Nomen (n); Plural: Schweine.
302,der Bär,bear,Das ist der Bär.,Nomen (m); Plural: Bären.
303,die Besitzerin,(female) owner,Das ist die Besitzerin.,Nomen (f); Plural: Besitzerinnen.
304,das Futter,animal feed / food,Das ist das Futter.,Nomen (n); meist ohne Plural.
305,füttern,to feed (an animal),Heute ist es füttern.,Wort/Redemittel.
306,zumindest,at least,Heute ist es zumindest.,Wort/Redemittel.
307,dick,thick / fat,Heute ist es dick.,Wort/Redemittel.
308,die Vergangenheit,past,Das ist die Vergangenheit.,Nomen (f); Plural: Vergangenheiten.
309,der Stil,style,Das ist der Stil.,Nomen (m); Plural: Stile.
310,der Tierarzt,vet,Das ist der Tierarzt.,Nomen (m); Plural: Tierärzte.
311,die Veränderung,change,Das ist die Veränderung.,Nomen (f); Plural: Veränderungen.
312,das Bild,picture,Das ist das Bild.,Nomen (n); Plural: Bilde.
