sn,german,english
315,Was passt zusammen? Ordnen Sie zu,
316,langlaufen schießen klettern verlieren entspannen tragen,
317,einen Helm,
318,den Bergen,
319,ein Tor,
320,ein Spiel,
321,der Blumentopf,
322,der Briefkasten,
323,das Zuhause,
324,das Päckchen,
325,der Bauernhof,
326,e auspacken,
327,die Ferienwohnung,
328,der Lärm,
329,der Bauer,
330,den Lärm,
331,mitten (mitten in der stinken,
332,Natur) gestunken,
333,einsam Verzeihung,
334,bitte,
335,der Stadtrand,
336,Stadtrand wohnen) vor,
337,außerhalb von (Entschuldigung,
338,das,
339,Dorf wohnen),
340,das Hausboot,
341,ein Fest,
342,das Ufer,
343,das Sommerfest,
344,schaukeln (Das Boot,
345,dem Wasser,
346,die Torte,
347,Torten mitbringen),
348,nass,
349,der Wein,
350,das Poster,
351,der Lampion,
352,die Kerze,
353,der Luxus,
354,das Spielzeug,
355,das Gartenhaus,
356,der Roller,
357,dem Roller,
358,der Altbau,
359,das Stockwerk,
360,das Kissen,
361,der Keller,
362,das Kissen,
363,das Dach,
364,der Boden,
365,* hängen (Er hängt,
366,den Baum,
367,Maße angeben hängen,
368,die Länge,
369,die Breite,
370,die Höhe,
371,die Fläche,
372,der Quadratmeter,
373,die Mieterin,
374,der Mitbewohner,
375,möbliert,
376,die Nebenkosten,
377,der Wohnung,
378,nebenan leben) einziehen,
379,gießen,
380,gossen gespannt,
381,auskennen,
382,aus,
383,verirren besorgt (Die Besitzer,
384,kündigen,
385,Wohnung kündigen) blitzschnell,
386,herlgeben,
387,Tiere hergegeben,
388,das Haustier,
389,die Katze,
390,zurücklaufen,
391,das Kätzchen,
392,-(So ein zurück,
393,süßes kleines Kätzchen!),
394,bellen andere wichtige Wörter und Wendungen,
395,der Vogel,
396,die Zulassung,
397,die Ratte,
398,die Maus,
399,der Hase,
400,die Kuh,
401,*e intensiv,
402,das Schaf,
403,das Schwein,
404,der Bär,
405,die Besitzerin,
406,das Futter,
407,füttern zumindest,
408,dick,
409,die Vergangenheit,
410,der Stil,
411,dünn.) verbessern,
412,der Tierarzt,
413,die Veränderung,
414,Wichtig für mich,
415,einem Bild,
416,einen kurzen Text,
417,an deiner Stelle,
418,Lebensphasen meiner Meinung nach,
419,vergehen,
420,Die Zeit vergeht schnell. interessieren,
421,die Ehe,
422,die Hausfrau,
423,der Hausmann,
424,backen,
425,einen Kuchen,
426,bauen Worum kümmert sich,
427,das Zimmer,
428,schön einrichten) unterhalten (mit,
429,der Hand,
430,verreisen,
431,den letzten Ausflug,
432,anstellen Alles bestens,
433,entlassen,
434,das Feuer,
435,behalten,
436,das Gas,
437,behalten (Er möchte seine,
438,die Heizung,
439,heizen,
440,der Werktag,
441,der Export,
442,der Strom,
443,der Import,
444,die Hektik,
445,die Frist,
446,der Helfer,
447,die Helferin,
448,der Notfall,
449,das Handy,
450,einem Notfall,
451,die Polizei,
452,die Unterkunft,
453,geklingelt.) bieten,
454,das Einkaufszentrum,
455,-zentren,
456,verbringen,
457,verbringt,
458,der Familie,
459,verbringen) produzieren,
460,träumen,
461,die Lücke,
462,verzichten,
463,das Mitleid,
464,altmodisch Mitleid mit ihm.),
465,damals Du Armer,
466,Du Arme,
467,besorgen (Ich muss noch,
468,Sprichwörter etwas im Supermarkt,
469,das Sprichwort,
470,wer besorgen.),
471,die Erklärung,
472,der Alkohol,
473,das Gold,
474,der Rat,
475,einen Rat,
476,heilen kühl (Am Abend ist es,
477,andere wichtige Wörter und Wendungen niedrig,
478,Acht geben reich,
479,herein kommen,
480,kommt herein,
481,hereingekommen Papa-,
482,brechen,
483,gebrochen (Das Glas ist,
484,Wichtig für mich,
485,den Lebensphasen,
486,Kind sein,
487,das Berufsleben,
488,die Schulzeit,
489,die Reihe,
490,die Unterhaltung,
491,der Warenkorb,
492,(Wir wünschen Ihnen gute netto,
493,die Mehrwertsteuer,
494,die Gesellschaft,
495,das Werk,
496,das Schloss,
497,der König,
498,die Vorwahl,
499,die Königin,
500,die Führung,
501,die Versandkosten,
502,eine Führung,
503,die Gebühr,
504,der Roman,
505,die Zahlungsart,
506,der Bestseller,
507,die Überweisung,
508,jährlich,
509,die Verfilmung,
510,die Meldung,
511,abonnierte Video-Kanal) der,
512,die Prominente,
513,der Nachrichtensprecher,
514,die Nachrichtensprecherin,
515,das Festival,
516,der Hörer,
517,der Hit,
518,die Hörerin,
519,der Musikstil,
520,die Sendung,
521,der Einsatz,
522,die Stimme,
523,die Stille,
524,rockig verschlafen,
525,Elektro hat verschlafen,
526,der Sammler,
527,die Stimmung,
528,die Sammlerin,
529,der Campingplatz,
530,das Schnäppchen,
531,die Übernachtung,
532,die Verpflegung,
533,der Wert,
534,der Rucksack,
535,wertvoll (Das Bild ist sehr,
536,ein Ticket,
537,befreundet (Er ist mit einer,
538,der Kauf,
539,e Kunstexpertin befreundet.),
540,der Stehplatz,
541,e bestätigen,
542,der Sitzplatz,
543,das Quiz,
544,die Malerei,
545,die Kriminalität,
546,der Titel,
547,dem Bild,
548,dem Titel,
549,die Gewalt,
550,die Bedeutung,
551,der Ausblick,
552,schlecht gelaunt sein,
553,das Meer,
554,das Blatt,
555,unendlich,
556,hübsch,
557,abschließend,
558,verrückt (Ich finde die,
559,dem Bild,
560,bisschen verrückt.) auffallen,
561,uninteressant aufgefallen (Was fällt dir,
562,dem Bild,
563,abstrakt,
564,erhalten,
565,der Vordergrund,
566,™e (im erhalten,
567,die Hauptrolle,
568,die Hauptrolle,
569,der Hintergrund,
570,der Wanderer,
571,die Wanderin,
572,die Stelle,
573,die Stelle,
574,die Rückfrage,
575,der Supermarkt,
576,unter anderem,
577,hell-(Die Blätter sind,
578,hellgrün.) wie immer,
579,dunkel-(Der Himmel ist,
580,abmalen,
581,Wichtig für mich,
582,das Bild,
583,die Stimmung,
584,erleben,
585,der Trainer,
586,die Tätigkeit,
587,einen Termin,
588,beraten,
589,beraten,
590,den Beruf,
591,der Berufswunsch,
592,nichts!) beruflich,
593,der Ärger,
594,komplett neu anfangen),
595,der Neuanfang,
596,die Bahn,
597,selbstständig machen),
598,der Fahrplan,
599,die Zugverbindung,
600,die Durchsage,
601,die Chance,
602,der Wagen,
603,eine Chance,
604,die Geschäftsreise,
605,der Schalter,
606,die Umwelt,
607,die Hinfahrt,
608,das Plastik,
609,die Rückfahrt,
610,zurück kommen,
611,kommt zurück,
612,das Gehalt,
613,das Risiko,
614,hin und zurück finanziell (das finanzielle,
615,einfach Risiko),
616,die Klasse,
617,die Übersetzerin,
618,eine Fahrtkarte,
619,die der Chirurg,
620,das Herz,
621,die Oberärztin,
622,der Leiter,
623,der Gang,
624,der Lastwagen,
625,Wo möchten Sie sitzen,
626,der Lkw,
627,bereuen (eine,
628,Entscheidung nicht,
629,das Stadtprogramm,
630,die Ermäßigung,
631,die Freiheit,
632,preiswert,
633,die Band,
634,der Musiker,
635,das Telefonat,
636,die Sängerin,
637,der Anrufer,
638,das Album,
639,der Anrufbeantworter,
640,sich konzentrieren,
641,deutlich (Sprechen Sie,
642,deutlich!) mit,
643,helfen,
644,das Blatt,
645,ein Blatt,
646,Papier bereitlegen) fest (kein festes Büro,
647,hektisch (nicht hektisch,
648,werden) befristet,
649,lächeln mobil,
650,das Wissen,
651,die Kompetenz,
652,hinterlassen,
653,lebenslang,
654,Nachricht hinterlassen) problemlos,
655,die Hausarbeit,
656,etwas ausrichten?),
657,zurückrufen,
658,andere wichtige Wörter und Wendungen,
659,also gut,
660,die moderne Arbeitswelt,
661,der Arbeitstag,
662,sich verändern nun?),
663,der Betrieb,
664,die Fabrik,
665,komisch,
666,die Maschine,
667,der Roboter,
668,-unnötig,
669,unter (Reservierungen,
670,die Digitalisierung,
671,virtuell einige,
672,erreichbar (immer schwanger,
673,das Bier,
674,zunehmen,
675,der Schritt,
676,der Austausch,
677,der Feiertag,
678,das Jahrhundert,
679,die Zusammenarbeit,
680,Wichtig für mich,
681,dem Zug,
682,eine gute Zugverbindung,
683,aussteiger,
684,im Restaurant arbeiten,
685,der Stadt,
686,die Aushilfe,
687,das Verkehrsmittel,
688,die Gäste,
689,öffentlich hat au,
690,Verkehrsmittel) servieren (Essen und,
691,der Fahrer,
692,die,
693,die Fahrerin,
694,die Zutat,
695,transportieren de,
696,die Polizei,
697,der Behörde,
698,das Amt,
699,die Feuerwehr,
700,die Behörde,
701,die Sicherheit,
702,der Beamte,
703,die die Beamtin,
704,Patienten kümmern),
705,ein paar Dinge,
706,pflegen erledigen),
707,die Operation,
708,ein Formular,
709,die Straßenreinigung,
710,der Antrag,
711,die Ordnung,
712,einen Antrag,
713,der Müll,
714,die Müllabfuhr,
715,die Einbürgerung,
716,die Mülltonne,
717,das Dokument,
718,die Mülltonnen,
719,leeren) hat abgegeben,
720,Angaben prüfen,
721,der Personalausweis,
722,die Stellenanzeige,
723,sich bewerben,
724,den Pass,
725,das Vorstellungs,
726,das Visum,
727,ein Visum,
728,gespräch beantragen),
729,die Unterlagen,
730,die Kenntnis,
731,(Italienisch-Kenntnisse,
732,die Grenze,
733,die Teilzeit,
734,der Bank,
735,die Bezahlung,
736,die Angestellte,
737,der Lohn,
738,e ab heben,
739,spontan (spontan arbeiten abgehoben,
740,können) vom Konto Geld abheben,
741,der Bescheid,
742,der Betrag,
743,gebe Ihnen Bescheid.),
744,einen Betrag,
745,auslgeben,
746,der Dom,
747,die Disco,
748,ausgeben),
749,ein Konto,
750,die Bankkarte,
751,sperren hat gebeten,
752,der Kredit,
753,der Gefallen,
754,die Geldbörse,
755,einen Gefallen,
756,leihen,
757,das Beste,
758,der,
759,die Nächste,
760,der Polizei,
761,der Fan,
762,der Diebstahl,
763,der Daumen,
764,die Daumen,
765,drücken),
766,weg sein (Das Handy war,
767,modern,
768,funktionieren,
769,eine Stadt-Tour,
770,der Gedanke,
771,der Stadtplan,
772,die Ruhe,
773,der Tourist,
774,die Entspannung,
775,die Touristin,
776,ein Job,
777,der Politiker,
778,dem Studium,
779,die Politikerin,
780,die Grenze,
781,das Parlament,
782,e fahren),
783,das Gesetz,
784,e vorstellen (Stell dir das,
785,die Verwaltung,
786,das Gebäude,
787,das Wunder,
788,Wichtig für mich,
789,einen Monat,
790,einen Personalweis,
791,ein Formular,
792,ein Konto,
793,besondere Ereignisse keine Ahnung haben,
794,die Geburt,
795,die Laune,
796,schmücken heute schlechte Laune.),
797,sich aus,
798,die Liebe,
799,die Geburtstagsparty,
800,der Schultag,
801,e (der erste sich wohlfühlen fallen,
802,die Freude,
803,der Führerschein,
804,sich unt,
805,die Führerschein,
806,ein Glück,
807,bestehen,
808,mich mi,
809,mich über meinen Bruder.) anbiete,
810,der Club,
811,das Brautpaar,
812,der Ring,
813,das Bedauern,
814,e (Erster Platz,
815,der Sieg,
816,die Medaille,
817,entschie,
818,das Feuerwerk,
819,Es ist alles okay. ist weggr,
820,Glückwünsche ausdrücken hoffen,
821,sich langweilen Wichtig f,
822,die Glückwunschkarte,
823,die Karte,
824,gratulieren (Wir gratulieren aufgeregt sein,
825,euch herzlich zur Hochzeit.) ärgerlich,
826,wie (Wie schön,
827,heiratet!) gestresst Notieren,
828,Alles Gute! nervös,
829,sich bedanken (Wir,
830,tausend Dank schlimm,
831,die Absage,
832,stehen,
833,traurig Reagieren,
834,der Karte,
835,unglücklich,
836,Gefühle Sie haben (,
837,das Gefühl,
838,die Emotion,
839,Angst haben dich an Tims Party?),
840,sich gewöhnen (Ich bin,
841,die andere Währung,
842,sich austauschen (Wir außerdem,
843,tauschen uns über unsere inzwischen,
844,Erfahrungen aus.),
845,das Frühjahr,
846,fallen,
847,das Gegenteil,
848,sich unterhalten,
849,das Wohnheim,
850,unterhält,
851,der Verkehr,
852,der Party,
853,mich mit Tim unterhalten.),
854,die Währung,
855,anbieten,
856,sich aus ruhen niemand,
857,aus,
858,sprechen,
859,aus,
860,bewundern hilfsbereit,
861,sich entscheiden,
862,ordentlich,
863,entschieden weltweit,
864,unterrichten wenn,
865,wegfahren,
866,meine Freundin wegfährt,
867,Wichtig für mich,
868,Notieren Sie positive und negative Gefühle,
869,Reagieren Sie,
870,eine Einladung,
871,einer Hochzeit,
872,als (Das Tablet ist leichter,
873,Dinge vergleichen wie (Der Laptop ist,
874,genauso praktisch wie das,
875,über Arbeit sprechen,
876,der Vergleich,
877,ein Start-Up,
878,der,
879,die Studierende,
880,eine App,
881,privat dass,
882,das Start-Up,
883,die Umfrage,
884,der Actionfilm,
885,der Fantasy-Film,
886,die Komödie,
887,der Liebesfilm,
888,die Filmmusik,
889,leicht Tablet.) Tablet.) gründen,
890,entwickeln),
891,der Thriller,
892,blöd,
893,Aktivitäten mit Medien an sein hochladen,
894,der E-Book-Reader,
895,das Smartphone,
896,die Spielekonsole,
897,der Bildschirm,
898,der Lautsprecher,
899,das E-Book,
900,der Laptop,
901,das Radio,
902,das Tablet,
903,die Tastatur,
904,die Webseite,
905,in Kontakt bleiben einhundertzwölf herunterladen,
906,die Maus,
907,der Kontakt,
908,lädt herunter,
909,der Blogbeitrag,
910,das Kabel,
911,der Link,
912,nah,
913,näher,
914,am nächsten,
915,die Freundschaft,
916,die Sorge,
917,die Enkelin,
918,die Kindheit,
919,überhaupt,
920,das Schicksal,
921,e manche,
922,mancher,
923,fröhlich schwierig vorsichtig,
924,der Enkel,
925,still haben),
926,das Tier,
927,plötzlich unbedingt,
928,tot zuletzt,
929,die Buchstaben,
930,andere wichtige Wörter und Wendungen,
931,die Hauptperson,
932,die Handlung,
933,en dumm,
934,dümmer,
935,der Humor,
936,der Trailer,
937,das Talent,
938,der Witz,
939,das Smartphone,
940,gewonnen dümmsten,
941,der Th,
942,die Mail,
943,die App,
944,das Foto,
945,real,
946,der Hotelkaufmann,
947,die Krankenschwester,
948,die Auszubildende,
949,die Berufserfahrung,
950,die Arztpraxis,
951,die Grundschule,
952,die Hauptschule,
953,die Gesamtschule,
954,die Realschule,
955,die Berufsschule,
956,das Schulsystem,
957,das Bundesland,
958,die Arzthelferin,
959,das Gymnasium,
960,der Altenpfleger,
961,der Englischlehrer,
962,die Hotelkauffrau,
963,der Krankenpfleger,
964,die Gärtnerin,
965,die Arbeitswelt,
966,das Berufsleben,
967,die Erfahrung,
968,das Handwerk,
969,die Werbeagentur,
970,das Reisebüro,
971,die AG,
972,das Au-pair,
973,der Grafiker,
974,der Azubi,
975,die Lehre,
976,die Messe,
977,Berufe jobben,
978,die Klasse,
979,der Schulabschluss,
980,der Abschluss,
981,die Direktorin,
982,die Schülerin,
983,der Klasse,
984,das Klassenzimmer,
985,die Unterrichtszeit,
986,die Cafeteria,
987,Lieblings-(Mein Lieblings-,
988,der Stundenplan,
989,die Fremdsprache,
990,die Klassenfahrt,
991,die Schuluniform,
992,die Vorbereitung,
993,der Schulweg,
994,der Vokabeltest,
995,Mathe einhundert,
996,das Abitur,
997,das Zeugnis,
998,der Direktor,
999,die Dauer,
1000,die Ferien,
1001,der Schüler,
1002,das Fach,
1003,streng Chemie,
1004,Geografie Geschichte Informatik Sozialkunde,
1005,Schule üben,
1006,einhunderteins,
1007,andere wichtige Wörter und Wendungen,
1008,ausschlafen,
1009,die Grafik,
1010,Freunde und ich haben viel,
1011,der Kontakt,
1012,die Behinderung,
1013,verlieren,
1014,je (Notieren Sie je zwei HotelkaUfmann,
1015,der Rollstuhl,
1016,die Erholung,
1017,die Erinnerung,
1018,die Weltreise,
1019,erwachsen unabhängig,
1020,die Grafik,
1021,Ehrlich?) freiwillig Kontakt.) erst mal,
1022,sozial,
1023,eine Vorlesung,
1024,das Das,
1025,die Gemeinsamkeit,
1026,Das sehe ich anders,
1027,die Vorlesung,
1028,die Meinung,
1029,die Hauptsache,
1030,der Unterschied,
1031,die Meinung,
1032,en nicht schlecht.) überrascht sein wahrscheinlich,
1033,Medizin ablehnen,
1034,zustimmen überraschen wenigstens,
1035,zum Beispiel,
1036,nützlich furchtbar witzig wütend ziemlich Spaß.),
1037,mi füt de dE,
1038,teilnehmen,
1039,liegen,
1040,empfangen,
1041,der Platz,
1042,*e (Ein Kellner,
1043,einen Plan,
1044,anmelden,
1045,der Flohmarkt,
1046,dem Sofa,
1047,der Aufenthalt,
1048,die Reservierung,
1049,spätestens weiter,
1050,der Verein,
1051,absagen zusagen gemeinsam organisieren,
1052,der Eingang,
1053,e hat empfangen,
1054,informieren weiterhelfen,
1055,die Zigarette,
1056,das WC,
1057,bitter salzig sauer scharf,
1058,retied woman. overtine hour,
1059,to finish to end,
1060,wone,
1061,abschließen,
1062,die Hochzeit,
1063,die Rentnerin,
1064,die Ausbildung,
1065,geboren sein geschieden,
1066,Familie heiraten,
1067,der Rentner,
1068,Beruf und Uni abgeschlossen.),
1069,die Überstunde,
1070,der Augenoptiker,
1071,die Bankkauffrau,
1072,Mathematik (Sg. ohne vorschlagen,
1073,das Stadtzentrum,
1074,dem Land,
1075,vor,
1076,zusammenleben,
1077,die Note,
1078,weitersuchen,
1079,mieten Freizeit,
1080,das Apartment,
1081,wohnen,
1082,weil (Marvin kommt später,
1083,eine Sprache,
1084,fließend sprechen,
1085,die Kollegen,
1086,andere wichtige Wörter und Wendungen,
1087,Ergänzen Sie je drei passende Wörter,
1088,die Angst,
1089,die Sätze,
1090,der Gegenstand,
1091,e Familie,
1092,Wichtig für mich,
1093,der Sinn,
1094,das Handy,
1095,der Bruder,
1096,fast,
